项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,1.4657072757843101
标准差,0.4721339050348591
最小值,0.7866048493451672
最大值,2.6318734999404114
中位数,1.5275216541331247
""
各Seed最终结果,
Seed,Final_Best
0,1.6481991629734694
1,0.9547458386605285
2,0.7866048493451672
3,1.713947986405401
4,1.6517257203613553
5,1.1818345656811289
6,1.5885561411960225
7,1.0427968955773395
8,2.183066832343684
9,2.6318734999404114
10,1.8340475337881799
11,1.553814237282495
12,1.5924795006994827
13,1.6002824008082825
14,1.0412847138140933
15,1.5864187628812942
16,0.8243717400255264
17,0.7990783040022507
18,1.7904801915210555
19,0.9674942367691983
20,1.1578192423894507
21,1.04572325706431
22,1.1242084854347922
23,1.3356275739515695
24,2.2541674537133076
25,2.1181628731319506
26,1.3355838268962543
27,2.1175859219820268
28,1.5012290709837544
29,1.0080074539055204
