Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,9699.125382829176,427.5295614324203,0.0,9939.685577702901,9417.67892656035,9461.25666502827,9791.552945469834,10003.51125343168,9646.41747159179,9108.829285671136,9578.052713572646,9914.150922061168,9213.312834768247,10056.323764348435,9328.419552169456,10493.94770142795,9458.70593960882,10165.27385609657,10033.046733062274,10178.395609324645,8741.004641651085,9662.001576930927,9949.882116134268,10098.730278071891,10100.765126526227,10030.860337205357,10039.884459440655,10087.576073513286,8971.485205560963,9120.210149976429,9418.873070160946,9088.501124295595,9875.42557351152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9153.783279025556,395.1872567220731,0.3333333333333333,9186.305098654846,9254.550221692196,9461.25666502827,8727.136654468712,9656.386284243128,9399.822338630522,9023.481252887583,8863.147752570603,9255.42359868604,8636.694883866649,9849.69768105272,8091.354426014882,9683.725944003969,8687.47964608029,8771.52015368659,9532.761151416704,9227.421720166723,8741.004641651085,8900.941070745097,9473.793600405326,9564.151888328783,9312.782676049988,9653.86156349309,8962.395616181582,9380.146318790652,8746.606607072921,8778.991601553998,9280.331632828367,9046.094080961479,9464.231599553965,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,8653.18235941235,416.8342926515743,0.2392417275107016,8946.416429933695,8473.902029808856,8870.5037917386,8727.136654468712,9130.351510222528,8803.350904948966,8409.691255328265,8477.546520355856,9221.535767828938,8077.042969164963,8928.825602018667,8091.354426014882,8973.763857242311,8079.778808395421,8477.186638566036,8816.792206435615,9043.207870240905,8741.004641651085,8900.941070745097,9214.07452845384,8914.995599986483,8515.089381554153,8575.814181137088,8832.692931181551,9147.055709862398,8290.311758584907,7201.421180990543,8554.400117524783,8581.861425154413,8577.421012830913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4483328471918675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8070288896044506,0.0,0.3566780835519619,0.565212004972768,0.0,0.0,0.0
3,8149.983681223081,416.8162866521611,0.26632589577396076,8668.417737269912,8331.396069112989,7854.447251265449,8388.20830215036,8880.61389058609,8418.522499364652,7878.374185092729,7715.407727909734,8339.039362416603,7777.902971863644,7676.151502225848,8091.354426014882,8474.326039285907,8079.778808395421,7133.912684536519,8362.338855193713,8079.65967277958,8310.945320622195,8070.623011840962,8443.240518071107,8528.927228897504,8441.122321573495,7494.872434237917,8318.713211117936,8504.913255198813,8200.639842699245,7027.503398932373,8348.243796973584,8385.772291410129,8274.141819653134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2622320452611379,1.0,0.7222830011941268,0.0,1.0,0.0,0.38576747758086655,0.651150360108335,0.0,0.0,1.0,1.0,0.04165862380111562,0.5561729026801149,0.0,0.37051246259312587,0.0,0.0,0.0
4,7678.003193024216,419.7021945087476,0.18031757681902966,7893.676149676841,7849.58519561838,7750.511326116582,8137.056051908973,8426.212646257925,7780.503201027007,7109.343840257035,7569.1287748689,8050.681612504891,7746.211866338787,7133.468876425119,7749.8630879702305,7756.995344967377,7773.058076013937,7133.912684536519,7945.901546167929,6524.615074687903,8187.101637995411,7713.511158922909,8087.854362220063,7646.423143732134,7937.356706735785,7308.376107605075,8029.385651192117,7895.962655915181,7272.940858652267,7027.503398932373,7104.51614145916,8133.879586654249,7664.559025365436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4385327249589972,0.0,0.0,1.0,0.0,0.6201975476398699,0.3404179695966364,0.0,0.0,0.0,1.0,0.0,1.0,0.010379062375387358,0.0,0.0,0.0,0.0
5,7256.394449062679,439.04952372752973,0.0716995853001166,7779.9452044350055,7496.0356205861835,6757.244845582142,7410.150626421948,7486.898189550732,7704.015363218551,6991.09330061832,7443.281138596715,7779.211877747229,7135.520779177306,7133.468876425119,7394.690470687381,7597.5844477662595,7139.6341854720295,6134.766080290639,7399.085504274472,6393.105586763317,7756.191202250912,7350.297639683486,7965.946322101639,6766.817621121588,7570.038572639638,6829.00945213975,7469.296766798349,7895.962655915181,6931.584597375375,6662.733863968346,6941.706753774028,7330.5213976507675,7045.99452884801,0.0,0.0,0.0,0.0,0.0,0.0,0.1999533289442129,0.0,0.0,0.0,0.0,0.0,0.19829070071160312,0.0,0.0,0.604934630917431,0.0,0.0,0.0,0.0,0.0,0.0,0.28598349570356985,0.10969143412904382,0.7521339685976373,0.0,0.0,0.0,0.0,0.0
6,6830.286723733491,412.16825029124436,0.0008806506291546607,7179.8699037714105,6826.81751673466,6212.674569052598,7093.818699644764,7294.789630639985,7317.071373781772,6439.009155886047,6623.844986794805,7194.874748559734,6125.904817830309,6708.6181141698635,7115.293968132532,6611.128727116931,6916.389096476345,6134.766080290639,7225.003315213215,6217.689265311668,6439.904638769678,7175.655628409072,7396.43000849879,6415.5430235792965,7429.8590679866675,6826.048990039608,7044.645253669413,7463.702165872164,6643.393021129381,6189.467380000022,6731.9422092177965,7060.16167676763,6854.284678657985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026419518874639822,0.0,0.0,0.0,0.0,0.0,0.0
7,6419.927803163643,388.7044582686903,0.019138204911532578,7179.8699037714105,6507.830059469169,6212.674569052598,6164.741322957685,7199.335277686851,6399.008309741284,5765.0155474984485,6214.018511888639,7022.556760043984,6125.904817830309,6502.951141142227,6045.098506332838,6537.511511246149,6916.389096476345,6134.766080290639,6833.995859807281,5903.5830607859425,6278.228724928392,6357.725180155654,6090.888888649108,5975.271103014089,7231.043332132492,6237.981453484627,6160.964082605715,6545.040446276542,6244.526779449806,6189.467380000022,6645.996767434579,6748.183473896394,6227.266146860076,0.07340313819317303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010407903728563225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49033510542424114,0.0,0.0,0.0,0.0,0.0,0.0
8,6110.155976310067,381.16323828714667,0.014001803600137135,6749.611130324736,6351.6452810035125,5695.9888000821065,6137.23251780394,6366.732575896027,6399.008309741284,5609.726476146239,5901.792558619372,6153.931819196062,5903.971742936879,6485.173317912109,6045.098506332838,5928.157516736602,6392.445486370471,6112.46915269651,6399.748799563488,5450.94412152415,6278.228724928392,6177.970890581315,5711.097966674689,5696.84485651374,6859.7284154577055,5919.133285009241,6134.619224073689,6545.040446276542,6031.011324556136,5075.750026654145,6024.871703063452,6572.595461037938,6194.108851588699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4179025499063725,0.0,0.0,0.002151558097741558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5877.984283993178,343.5484894029018,0.010271736957470998,6749.611130324736,5863.781458930341,5695.9888000821065,5673.541847404644,6179.498565066907,5757.181478559571,5387.961803497252,5692.969558612461,6010.5881487947945,5488.661217372853,6011.211366722023,6045.098506332838,5567.606362781511,5969.561225102464,5951.872263296757,6065.33612560076,5450.94412152415,6046.697532772958,5677.449803046136,5571.761602803859,5696.84485651374,6457.238349973501,5713.562127209195,6131.362091324425,6512.34614821726,5776.569953687294,5075.750026654145,5935.316612614738,6164.786147634362,6018.4292873375925,0.0,0.0082938525109064,0.0,0.10846670484457556,0.0,0.0,0.0,0.0,0.11376285624698881,0.0,0.0,0.07762869512165918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
