项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,768.5338235436575
标准差,211.74965662836308
最小值,164.8397287388634
最大值,1103.3161387986202
中位数,758.0495394759428
""
各Seed最终结果,
Seed,Final_Best
0,981.9348626856099
1,874.9693111462802
2,983.2017735152203
3,992.2511149142574
4,646.8136385353373
5,865.0830602969181
6,1100.6528746562035
7,630.8875731815988
8,762.4286215576485
9,767.6198453034194
10,625.3658577384376
11,751.580150942671
12,626.8417161523193
13,276.34308075591616
14,1001.5955449467529
15,1007.6265972999645
16,746.9632158060867
17,869.6916945088778
18,874.4731951859303
19,876.634819758021
20,746.4635176466818
21,636.2016036262903
22,864.2820041798022
23,753.5424379367014
24,164.8397287388634
25,630.5118968306087
26,1103.3161387986202
27,753.670457394237
28,635.6124169469058
29,504.61595532354113
