Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,56804.47964685122,6000.846391750665,0.4282353490642013,58100.41828583532,60722.58544733754,61045.701158438154,66647.07936391167,44517.043150673046,49854.98671904145,64502.56500115785,52467.12295170019,53999.25294001277,56079.79977548146,54305.82436236606,65687.03300959633,65608.67960763325,56953.71895378754,61157.18960079482,51342.51476351531,50544.973973348395,51098.75898024393,44265.432087208785,47527.115785641436,53826.56352870724,54205.559484870995,63748.822164612524,56469.3480922231,61624.33378452547,60982.66212939384,60161.60990502107,59370.842337912174,56815.19484814555,60501.65721239909,0.1268525170439157,0.18944705643394114,0.19027800943785658,0.5675025586623297,0.4249141954112467,0.541884850633257,0.4054652651915689,0.44621779500112635,0.5577817980832691,0.75,0.3672734613030612,0.2798719396568281,0.75,0.13189788171072905,0.75,0.07706439125723609,0.4043266404670345,0.6725263989449,0.43473502602501035,0.5,0.45359664360432705,0.47224479020417337,0.6124748321053238,0.5086873992539916,0.37323511257013764,0.3930431584915489,0.22697308002412578,0.5,0.2970741139825401,0.4416915564265628
1,44359.941356403266,6093.190232384599,0.4222759112714897,45290.93662344815,46370.41528761722,43852.21650930542,48324.7151873878,28789.18780634089,41333.39511171417,54020.941244551206,46950.01293962866,44845.32774903793,35563.69665206823,42676.08571909181,55850.98499822532,43990.1923019384,49043.663753839064,48374.75169910693,36429.29457130721,35375.20838948144,39154.62666719003,34919.98421076477,40615.15474009184,46572.35644579266,43757.67921215693,51176.86994604357,44747.83264916397,40381.74352635451,42520.81244464631,47552.02911685757,53214.61325091662,48297.541185991795,50805.970752037305,0.450841214957185,0.32744171489808205,0.3636821771210089,0.2880663507673252,0.2104754718337843,0.42398930940849877,0.54312849994454,0.5561115656206383,0.43950109000153004,0.4539865035164162,0.12397747502663575,0.35398788965833666,0.47492435052763504,0.3725003156251917,0.45862650666875704,0.48538199994290665,0.27859672973120375,0.13830566687054613,0.4069215450350165,0.470560120479922,0.5662520359749313,0.3750430828254686,0.5695521649425108,0.52011179059708,0.39692079940215497,0.4711277079271464,0.5738049805389177,0.5525775894916531,0.6212623104513253,0.40061837835834424
2,35469.23235883649,5083.238170716053,0.19133781307603898,34856.00552384278,37123.668135446926,34488.26773868555,40533.364034330814,25300.456161219983,33622.94183769417,43273.44376245945,35701.15729652223,30258.8865476044,28898.379240378057,34990.19148324224,44406.06527364845,36461.53894725486,39721.82280606923,34073.99154726102,30246.956421098534,28885.20385019439,29093.648662549134,28108.22652918103,28399.771976758355,38680.55811039001,37689.67373236626,37445.8051095577,36413.36472555997,33386.80352154478,35384.13313372098,40402.12328405087,44776.64380044533,40422.51987017089,41031.35770184637,0.2789492364230262,0.22294958898875902,0.13109334155330632,0.3429613790996855,0.34244302229744294,0.10221090421375954,0.27695562653341677,0.2665517604621819,0.2543171913534148,0.06085506425736814,0.04131752214502592,0.1619252243488526,0.09171180345571615,0.1069768452193495,0.32962269129346944,0.10717098587222804,0.048503949185775,0.1752132042248018,0.22574725336966267,0.09994692290251568,0.3444573260124505,0.10524212784342943,0.38934114701716827,0.14157422792991892,0.26043866332620375,0.11690264618879001,0.16956066333306297,0.2520204642677817,0.1066008888870108,0.1865727202755965
3,28813.18549195787,4517.6029888257,0.16975069727750947,26438.570690885717,30182.781857468228,27879.550184817224,29317.46865479711,21948.410456353675,27132.374551044497,36381.071166890986,29833.7486386709,27596.560737322012,24796.711767310397,30039.892392514103,36780.50135265062,33055.3370005827,34911.35132056596,26879.442229471337,21627.097730419187,22830.883253796375,25159.869750839858,20073.601443617557,22109.943392775534,34630.36806027716,30032.866595861375,32173.62350408347,30735.27846894042,27456.816636679887,28100.392924414813,27444.927009006147,35061.69561900812,28792.88646817932,34991.540899491294,0.27389729839730953,0.06979187487364417,0.10614398727941889,0.2911121717092948,0.19537289182596596,0.03972822862606784,0.2278661291999866,0.2593012657638245,0.1941721435601214,0.09389419464311993,0.06820116426005159,0.0785513458083482,0.062210987406333226,0.07327920440103869,0.2299943762224126,0.19443763344247117,0.19254781784321107,0.20643954681373322,0.2696197142900274,0.2135492540428405,0.2575093238144618,0.08183747950649647,0.3772311398517394,0.11832776530306063,0.16106992668084932,0.11128424984186933,0.2529332945490367,0.17349314114470266,0.09878883206974652,0.11993453515409952
4,23362.738851265658,3673.403174306832,0.1604783508132116,21840.442008339716,25019.244633037793,24437.492742722865,20957.857055854565,16119.349425724917,21113.565057890846,26481.482763773754,25295.117633643757,24876.66913769974,21854.73216056856,25857.77697803825,29679.90533926,26672.511811012217,29162.489039970143,16605.625507576235,18719.2980390832,19759.296705225493,21225.236762601933,16961.497694555386,19185.187347429048,30360.409805210133,24221.767904202712,24016.14307876832,25448.764524383507,23620.522244264797,22033.928526356947,22410.410163841894,26269.988046411196,23116.99767056381,27558.455729957983,0.24962023990476206,0.0766765271450428,0.050960800266812566,0.177313832220755,0.1160040015357664,0.06357564655237796,0.22176768150021944,0.2585619513968726,0.21565005297743892,0.15651047506462337,0.1959017386277628,0.09880002440597835,0.06795393077073805,0.08038398271806454,0.1894687092305235,0.15044594744995124,0.18773154767964356,0.2203554488525407,0.2168861685382107,0.17930886399980145,0.19688995874018525,0.06302029199711319,0.2734052749299115,0.1135006701081419,0.11092341346424305,0.19887077879908718,0.25409291878138957,0.1908666830727198,0.10886131023190812,0.13004165343376245
5,19285.676792990304,3218.13365576118,0.15362033761529093,18471.161633625285,19191.77566991331,21345.18190166678,18022.200089716654,14454.018305511358,17827.218133021564,17576.14860813305,22164.524265417687,20869.710057011835,18133.47350334572,20507.482247830154,25532.217013368794,22438.08323404434,22879.347673006956,11913.225703665907,16287.3011895285,16827.64297519819,17939.73121679269,14029.250082913648,14611.707982071744,24994.097922409906,19557.82349143219,16828.097505940652,20664.304140887307,21030.30677074751,18593.902150724873,20708.77218269187,23261.634152436596,18495.714229303143,23414.249757350724,0.22402178719793547,0.09799713650473299,0.03806034891500728,0.16626345602588238,0.19311625520528203,0.06964437062522345,0.19858878923105247,0.21058198015813673,0.21424970855900238,0.1998490296654291,0.1727198139688772,0.060318148142775474,0.09380758947749611,0.0875370739056929,0.17462056116083613,0.1526848319123258,0.22844432329774905,0.18760389493629848,0.19122442643320028,0.15436972216118344,0.24529248326398018,0.038611592929347155,0.28246818513771277,0.1510604160701427,0.13650733932145212,0.16852797622510712,0.19617762381545018,0.17708333515347424,0.026785127253989474,0.07039280180395091
6,16362.531643724378,2762.646650048233,0.14702959424380463,16106.77765128829,15964.604573818026,16831.224728240402,15824.806123177286,13147.654199269362,15604.39471888983,15996.482594096737,19412.558994610597,18679.452953688393,16091.481912540783,18357.005022096146,15371.921461191205,19621.190168809968,21440.83781148117,10431.440344110035,14076.554837422236,14382.679349847773,16197.992100726406,10510.57762791296,12411.690338621836,21939.650687358335,15149.752191530499,14472.460772101522,17120.512944632253,18610.64473768547,15069.536382966846,17014.350856836474,19509.00128115164,15623.090562006131,19905.621383622645,0.14289902961047823,0.18032017203440787,0.12715648119631573,0.1857940879880202,0.1701454294858952,0.020272047210930642,0.2303381088849599,0.14002103165432317,0.22617704349629827,0.1962021036463067,0.15883336944743043,0.056438671778910376,0.05613037241275544,0.05003573406677479,0.2110403052234019,0.12879888493290526,0.20376139152129039,0.20705929378282958,0.208041835209896,0.07654122702891691,0.22677914097876223,0.05428134209661945,0.1758850277101408,0.16567312510877616,0.1536949067289853,0.15529592360102956,0.21549192230063008,0.15523114594805568,0.05801394717384914,0.074534725054242
7,13753.06337741332,2274.4091843024516,0.14529069025977825,12841.615816516494,13012.014531628862,14569.416576925596,13397.530924941471,11665.360451099006,12992.29708806931,12148.402909420505,16817.867260508523,14302.663211745219,14145.190681062904,16115.611804004468,11597.110820183181,16626.335240186705,15940.909298573048,9374.138968234833,12213.151647878572,11866.90899698999,14301.138404770403,8989.399224692563,11319.149064121912,17471.963107608968,13161.932645384453,10496.054595218173,14965.555328813109,16979.089718845207,13502.81339332038,15572.93429261374,15894.45498660137,12941.523187852812,17369.367144587934,0.12466032932624947,0.18008480014472739,0.19035991979405917,0.21137143269848785,0.10978946422452514,0.16418357688678997,0.19070572956580528,0.10467804187815044,0.20197318040194975,0.14286479256233647,0.12707736040106155,0.059407121452358914,0.029032694783421534,0.16765236331145345,0.10205328867171781,0.1854695331095964,0.20208162076540254,0.20247658795842277,0.18698546365567462,0.2165912028329452,0.18412369617684765,0.08344499957540974,0.15477527473933766,0.0840784767304909,0.16492569478505942,0.14975362650438745,0.22602338173808387,0.12543118334477987,0.040155636966633323,0.04651023280718145
8,11742.743592916948,2127.60314984787,0.16222880169343407,10982.820727679575,11384.937630319138,12526.251025119735,12266.017822342284,11055.10354355443,10327.213159000854,12148.402909420505,15941.145138076583,13035.43484381612,11191.1029473415,13394.025962616248,9517.685072794511,14881.07284361475,14354.605977167323,7370.507802996002,9423.476362308656,10747.494405082287,12033.551758429428,8601.666530406197,8812.149292105883,13315.44526124428,11115.113523382517,8740.450299795357,12389.728557248107,14335.664186825275,9489.138710291698,13544.409808583863,14186.355983203444,10482.002282760635,14689.333419981265,0.12667593394022547,0.19237444677511023,0.17621344714206805,0.20858743495193807,0.18817207361386562,0.16238100898268648,0.15106188989880848,0.1320044635230894,0.14369964843509092,0.19428068433034407,0.14720970689904733,0.049052834811061236,0.15311479746867143,0.1826661505291672,0.07656557989857803,0.12369751932960434,0.17822302622692562,0.19468406845125347,0.16474475217385826,0.18834146328469795,0.18372861931200427,0.067299123560538,0.1139262656884818,0.2147820990132597,0.20504655443499284,0.19915980454723242,0.2108366097791272,0.21716980178462805,0.12413300598077802,0.19703123603588754
9,10191.154993835024,1925.589603289964,0.15968096332813442,9438.206246334712,10331.601146572117,9945.006560214206,10907.27027354766,9484.337431848477,9749.85077459331,11269.893996552897,14171.898953891683,12227.431134766723,10526.64250571919,11042.94315294645,8432.23561979138,13117.846875960975,11595.324247442903,6749.84134650807,7279.847329215822,8934.227424520777,9768.58355393639,6804.61222643355,7952.938626063826,11260.83594616066,9360.433713390972,7675.129883211195,10918.188360607608,12810.597459089093,8250.31876057587,11923.524035804125,13097.820843450103,8874.163287352034,11833.098098548004,0.16960000945011572,0.16604475640152017,0.14215391754955076,0.18158009289203209,0.1452637959773384,0.1854868422717258,0.126171471970646,0.2034306647981335,0.19986611803904522,0.1764735082892752,0.09343897634770315,0.07259836022630663,0.15871335501711686,0.1574337828372238,0.0650306987914115,0.20926566107266076,0.11686088437107604,0.16005323287342632,0.13672785179912364,0.20660322929295324,0.24202990827234053,0.08510699111363651,0.20746749673328535,0.16603025992947174,0.21108128782093485,0.14441659556990444,0.21732142835730156,0.2049552204188373,0.11125269758781087,0.12796980377212497
