# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,176,81,26,44,34,54,415
State_1,54,36,40,23,24,23,200
State_2,23,4,3,1,3,0,34
State_3,7432,5985,1209,1122,7644,7957,31349
State_4,4395,3402,525,575,1952,2553,13402
State_5,1045,824,296,270,2099,1526,6060
State_6,388,184,450,492,749,1534,3797
State_7,1473,538,368,359,1322,1172,5232
State_8,729,638,391,650,2214,1576,6198
State_9,327,166,185,201,301,283,1463
State_10,519,241,856,452,655,515,3238
State_11,158,79,135,113,87,85,657
State_12,1399,640,891,1715,5777,6238,16660
State_13,829,526,2055,1969,7089,3942,16410
State_14,1303,406,1137,962,2748,3583,10139
State_15,372,217,318,274,428,676,2285
State_16,877,678,628,1089,1433,2410,7115
State_17,922,893,6806,3861,8642,7602,28726
State_18,1015,857,1877,818,2731,3201,10499
State_19,3291,2657,7852,3904,11001,10862,39567
State_20,1303,1172,2946,1886,3476,4334,15117
State_21,1441,407,532,1058,1056,1265,5759
State_22,1097,588,2837,1248,1699,2306,9775
State_23,645,254,900,875,1029,608,4311
State_24,9,0,0,0,1,0,10
State_25,127,17,11,17,22,8,202
State_26,769,100,55,151,116,189,1380
Total,32118,21590,33329,24129,64332,64502,240000
