项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,0.061565285125068474
标准差,0.030215974168814223
最小值,0.012100927884305154
最大值,0.14837412598663402
中位数,0.056669120992747235
""
各Seed最终结果,
Seed,Final_Best
0,0.09363928021265612
1,0.04509738163945608
2,0.05351355449372127
3,0.06776412099703492
4,0.05652689905338681
5,0.014323801028645111
6,0.08638271147097493
7,0.07046022949525534
8,0.044713575172840435
9,0.05259107809878444
10,0.12014440483945939
11,0.03264800745337801
12,0.0640751896486985
13,0.05681134293210766
14,0.0313757194784213
15,0.14837412598663402
16,0.051794335105131706
17,0.06183537545729543
18,0.05169066955004582
19,0.06269628606922235
20,0.05399648829370009
21,0.09533873839306213
22,0.05889664863891462
23,0.054494843476483874
24,0.07875248861839433
25,0.020883858442306263
26,0.012100927884305154
27,0.11613222431554754
28,0.06154202468169412
29,0.028362222824496595
