项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,18.226446234759827
标准差,4.801070404912055
最小值,9.31083030989929
最大值,32.997468869946836
中位数,18.12092157100364
""
各Seed最终结果,
Seed,Final_Best
0,22.327111819133073
1,11.432764929071212
2,16.0451600870879
3,19.291144560835477
4,9.31083030989929
5,19.229832049300978
6,17.710765808549404
7,21.084463307777973
8,21.03631623287473
9,13.697403390647409
10,18.474053812475717
11,16.206248143736204
12,18.908977661966812
13,16.578544528982487
14,13.059774478542494
15,21.457400274478474
16,22.820748137119836
17,23.777940202837502
18,25.80553461755267
19,15.319719250022878
20,14.89113865360823
21,17.76778932953157
22,18.74126243734063
23,13.392939672660496
24,15.891173079336214
25,20.080318072425705
26,32.997468869946836
27,10.792561310942798
28,15.919415658916286
29,22.744586355193515
