Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,56804.47964685122,6000.846391750665,0.0,58100.41828583532,60722.58544733754,61045.701158438154,66647.07936391167,44517.043150673046,49854.98671904145,64502.56500115785,52467.12295170019,53999.25294001277,56079.79977548146,54305.82436236606,65687.03300959633,65608.67960763325,56953.71895378754,61157.18960079482,51342.51476351531,50544.973973348395,51098.75898024393,44265.432087208785,47527.115785641436,53826.56352870724,54205.559484870995,63748.822164612524,56469.3480922231,61624.33378452547,60982.66212939384,60161.60990502107,59370.842337912174,56815.19484814555,60501.65721239909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,46589.63337935765,5835.009522448437,0.0,55947.0356032809,47138.78388278223,43601.209199475124,50011.977842720335,39610.55758019242,33549.82926211643,55712.25046218688,47326.17435637985,40138.83906234678,42057.579556654855,45879.075463636174,51990.02200732487,55057.17696951594,50741.03452078524,48255.20529953339,39926.27233103956,42552.027921951136,47848.97233062713,31362.76883221705,47527.115785641436,43152.00390104269,54205.559484870995,49576.99352317142,50277.45327401608,49577.231044353925,46157.934965430584,48285.92752470525,49699.01970550342,47937.51917617925,42585.45051104792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,37234.7955919272,4665.140347064771,0.024938250858323716,47002.83533718972,36313.03270329564,36583.42452836473,34333.62933032455,33819.807432284695,28939.361521157858,41789.24533592227,40338.975577683545,29615.773719337085,34928.939376306495,38434.179422338435,39140.64557317341,45458.92396618942,41829.24850046484,32668.67328201638,34295.72109724395,39199.73863696072,34700.75268435531,25515.090959999812,40504.537770958865,42761.78263429594,41591.56627400565,38853.16718310999,38426.958275825906,36383.293333173795,37486.04724265491,37760.05900836091,40585.09718862699,35259.03495391911,32524.324908274706,0.0,0.009757160122560315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2888603200686997,0.0,0.13321132427559476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2954078776474278,0.0,0.020910843635428795,0.0,0.0,0.0,0.0
3,31522.13877308699,4856.940464479019,0.014630444109425834,32969.38186880373,32490.011487956606,29540.334052812996,25858.18816650585,28906.018708614632,24246.265651618603,31603.527713597112,34371.675014444125,27448.068411346234,29008.44113549324,32249.984668398552,33414.63180011865,39978.834415020094,37720.82750744599,30672.555046426285,27187.640143376157,37566.91286281187,27489.670016509317,20806.805997027437,35516.67125246812,39345.29278771842,41221.1373392406,33628.66067973451,29556.583208150707,33927.96116713247,31829.645988904675,29733.063526348873,35239.17532387782,28781.97222095006,23354.225029755766,0.0,0.0,0.003708812973834046,0.0,0.0,0.0,0.0,0.0,0.0,0.012208688050068878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026609962175079887,0.0,0.13057760267229523,0.27825537429793956,0.0,0.0,0.0,0.0,0.0,0.01150184907112933
4,26846.830440950973,5014.256968078277,0.03076328298461675,32969.38186880373,28671.54018227042,24635.976263624812,21260.106251363533,25474.491359317846,19167.747906204615,31066.409441685973,32807.840349085294,21421.056839778823,24483.45313742102,26990.22906028251,28473.247411113203,29249.285564243564,33085.139556572525,25199.335809117172,27187.640143376157,28267.76777133197,20578.740943605997,15930.848892577109,27944.494601061793,37011.76390329329,35463.867522307526,30150.68852697616,25663.067009776292,28627.9418604783,26345.82336060974,23583.8183900973,32151.779664525788,23045.632526349727,18495.79711127702,0.0,0.0,0.0,0.004596722983060339,0.0,0.0,0.0,0.0,0.025654677101968736,0.03145117464594042,0.0,0.0,0.0,0.0,0.0,0.3196624600354728,0.10740619950545965,0.0352143637019915,0.0,0.0,0.015455705844990971,0.023645466697137508,0.08787606500430788,0.24743740513522805,0.0069615364553653825,0.0,0.0,0.011552630084756925,0.0059840823428223815,0.0
5,23549.497404379745,4803.046371177453,0.048386274277454074,27073.883932027133,23238.271405996562,21326.255095282795,19067.992807720548,21570.76921715861,17486.20451684129,24174.661861396904,28786.493038895685,19111.077972454146,22542.54369164128,22564.18642103445,24731.629574395178,26379.41654684106,26571.024001208894,25199.335809117172,27122.41210236039,28267.76777133197,15873.448525197899,14297.90173234136,24268.488192178294,35038.925614500506,31470.42290157004,30150.68852697616,21762.19928060272,24932.37555509092,18366.682937339807,20753.87176416348,28048.79753598254,19949.956335853014,16357.23746389154,0.09421075078204187,0.2942770214654526,0.0,0.0,0.005247749287091286,0.0,0.07164103272406039,0.13215276610669816,0.0,0.0,0.0,0.0,0.0,0.0,0.018515204669672106,0.30994365279375485,0.031210943487862373,0.0,0.0,0.0004474396944559041,0.042602898833471986,0.0,0.17905768376576597,0.2588701683408449,0.0004519195753141979,0.012958996797135561,0.0,0.0,0.0,0.0
6,20002.187191529672,4330.186871244601,0.0584613917174854,22993.84759635334,17192.92060471531,18217.59385373778,16059.709064416744,18079.966760650594,16864.48231748188,19515.507569602058,26994.97554150673,15903.846105716822,19733.479934558265,18910.434328247975,20187.201725456915,26379.41654684106,23553.412003891863,19815.000957801767,22376.362748229498,22400.47458889524,12910.541167794865,11505.655187596318,20551.30173686114,29235.123951100646,26942.221610341447,24096.971253162817,18470.473535490142,21642.516656257394,14928.448256043923,17300.903821308777,25627.88572557633,17268.15844630032,14406.782149952278,0.0,0.24594771667444762,0.003865781229371355,0.02303186517081397,0.0011351334312644152,0.0,0.014139887456198827,0.09218210808546085,0.2637091127194526,0.09121072240963651,0.015243417047893719,0.0007568454633393278,0.0,0.0,0.016387440262706367,0.23810342892678465,0.0,0.0,0.0,0.0,0.036051043843615335,0.29232331147568313,0.16276960562622803,0.24928837821782188,0.00024272873326543413,0.0,0.0,0.0,0.004384637373073969,0.00306858737750409
7,17868.653699238403,4388.732627978596,0.10159816007042548,20858.735976161457,14579.190797833684,15488.131399774658,14197.556438200116,13063.56997950085,15068.762372951993,17947.18742727253,24076.35862930199,15903.846105716822,16782.969601320612,18848.577591511992,18399.772274388157,26379.41654684106,20728.178396979452,16530.294353121575,22155.444764918222,22400.47458889524,11304.647250324539,9638.014348241557,15792.809597988984,25678.74111853941,26436.21992940865,21002.097349746586,15905.319707613278,18637.475968658182,13977.128520678361,16040.427977552115,21469.03272125785,15172.297552652308,11596.93168980003,0.2824624692254753,0.24123302925149837,0.11107858454973851,0.008177341609580337,0.0,0.09130618759126903,0.02367053341894453,0.09968776844955449,0.3191296631401495,0.0716276818925694,0.0,0.0,0.0,0.0,0.0,0.31621329433183043,0.292505850291863,0.2488145126200898,0.034864981207557974,0.012559003293706381,0.01758868102619759,0.31904143323551043,0.22841108686305775,0.24377555127008407,0.0,0.0,0.0,0.08387221520218066,0.0,0.0019249336419072552
8,16068.58226660656,4470.840172785276,0.10759073326053979,19811.664166224364,12506.662725267317,12284.739282826982,13238.802610153743,12211.630946067764,13126.168058500647,16000.21005465259,19334.81872267636,15208.904948364805,14152.992033054537,16722.519283941314,16718.11580311833,25883.19743933247,19218.512310800463,16187.465500891229,22155.444764918222,17128.731367155633,9395.323597362982,6468.580592777561,13270.378075125227,25678.74111853941,21641.484669099256,18808.787678915258,13881.815252092934,18030.492184623283,13815.927389717534,14542.745794677947,21469.03272125785,13288.113337160576,9875.465568900281,0.2712815833114378,0.23609791816997622,0.0,0.0,0.26915204525805253,0.08939404022704373,0.0,0.08128596749141816,0.22225418048347767,0.07225421156876505,0.08635651252984582,0.0,0.0,0.29429432166947167,0.011725022735219153,0.30301931051301423,0.24529956673955092,0.009356367116869161,0.022609522682667384,0.25697239078266043,0.006300726367836272,0.008624452662766567,0.0,0.23770759908518205,0.2602245815952752,0.0,0.0,0.14664983718713245,0.09686183963853176,0.0
9,14322.14874095007,3748.87040091847,0.10236248644030498,17546.289744198457,11711.812740271955,12284.739282826982,11204.183204934714,11240.542048912619,11988.575390901844,15067.418159474337,15557.091505748707,13418.10302159774,12632.95795916149,15458.461376314372,15861.803068362653,24158.86493013626,16421.864305999898,16026.797972423095,19296.675589419076,17128.731367155633,9395.323597362982,6468.580592777561,9983.17004503341,20790.61484092815,17041.69012966953,16203.643573542591,11938.098617734726,16480.187535640915,13788.44936676926,12099.762128142247,18460.919515741385,10992.684630423413,9016.425986896045,0.2582090490195678,0.1440016717159479,0.09487001494696046,0.0,0.2292411552043336,0.0029030765764677603,0.0,0.06691195155615223,0.234139086038457,0.16337919492654307,0.0,0.0,0.0,0.0,0.005307436785074272,0.2574799488482069,0.1325285377243855,0.0,0.0,0.24958075575165103,0.0,0.2947784250109249,0.28290245453531926,0.0,0.23489531373188421,0.0,0.118748888875171,0.04713038260569707,0.0,0.25386724935640564
