# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,241,186,212,218,1253,886,2996
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,422,387,408,414,4172,7079,12882
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,247,114,177,266,1350,1275,3429
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,273,282,325,317,1362,1928,4487
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,373,253,433,421,4167,3698,9345
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,332,316,333,465,3196,4611,9253
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,693,618,1203,4338,1148,1087,9087
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,208,150,745,1796,542,511,3952
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,152,142,466,694,1722,1393,4569
State_26,0,0,0,0,0,0,0
Total,2941,2448,4302,8929,18912,22468,60000
