项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.03709181705495737
标准差,0.01630991926843365
最小值,0.014871841619558563
最大值,0.09964249718901624
中位数,0.033051660006999224
""
各Seed最终结果,
Seed,Final_Best
0,0.032361497375631654
1,0.09964249718901624
2,0.014871841619558563
3,0.04508249779218508
4,0.026562980232095367
5,0.053410973445030124
6,0.016135540027583606
7,0.019966203619927996
8,0.04820238926911998
9,0.032163126600764654
10,0.04108028008054878
11,0.045760663152309554
12,0.024291136655032682
13,0.02072585499415315
14,0.02349444051065698
15,0.033337214625833084
16,0.05035422428775843
17,0.04324695028327393
18,0.025889224796389325
19,0.032766105388165365
20,0.03463532471683137
21,0.049497546215939714
22,0.02884690754773055
23,0.033845072135109094
24,0.0295051622448595
25,0.025281440310790285
26,0.05613458365206056
27,0.041963911257228634
28,0.053758220830801486
29,0.02994070079233564
