Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,56804.47964685122,6000.846391750665,0.0,58100.41828583532,60722.58544733754,61045.701158438154,66647.07936391167,44517.043150673046,49854.98671904145,64502.56500115785,52467.12295170019,53999.25294001277,56079.79977548146,54305.82436236606,65687.03300959633,65608.67960763325,56953.71895378754,61157.18960079482,51342.51476351531,50544.973973348395,51098.75898024393,44265.432087208785,47527.115785641436,53826.56352870724,54205.559484870995,63748.822164612524,56469.3480922231,61624.33378452547,60982.66212939384,60161.60990502107,59370.842337912174,56815.19484814555,60501.65721239909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52149.095805467936,7030.678970554629,0.0,56499.34273268723,58331.43508447228,58172.68230383497,56181.59427474163,44517.043150673046,49854.98671904145,57213.89277935908,45981.02515563447,53999.25294001277,49045.756181279896,47100.0434580977,60626.86066699514,61626.77507218172,56829.8538971854,49174.89234232045,48083.641404698086,50544.973973348395,50055.51505071933,40057.1754316876,41900.88483266229,53725.42958576213,32153.66343100862,55824.151147215,56469.3480922231,60810.563281911534,57621.638885194865,59178.382854111376,41271.070095834955,54036.773851142345,57584.22548800157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,45090.06371436021,5217.5182411400865,0.0,49268.67116794996,42257.0912133098,44824.172212327096,46439.65628902962,40767.09090614997,41667.594574193194,45528.402292832114,45981.02515563447,43058.274160057306,47295.619195425985,44971.66868355696,50258.06970137507,49815.53987669873,48477.312828459326,44782.39035139245,41034.04326532405,43089.2352253819,40857.8320814872,40057.1754316876,41221.91116221502,52806.31432190635,32153.66343100862,47570.48091832649,50224.234688514116,48090.10433595375,46535.73205117932,49861.228757801946,30109.495847291037,52395.37500828712,51302.506296049665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,40014.117344695485,5139.1294265698925,0.0,42384.74655347273,42257.0912133098,44824.172212327096,42500.59280738438,35010.11234884985,33856.097751318586,44649.5366802626,38343.187746973155,43058.274160057306,42511.63632515406,36433.79550596046,49732.40511033674,44651.14449192514,43073.79372762906,42678.218331799966,40621.748781606955,33827.537446193004,40857.8320814872,34110.607517761,35499.74743655304,34194.748344182946,32153.66343100862,39534.38703480079,41264.842659952716,31989.656312933566,42730.03184510876,40684.67027214379,30109.495847291037,48584.18004041568,48295.56632266472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,34305.12599082707,3726.895653360334,0.0,37905.453123296575,37408.50784765197,38563.2772570758,33810.1801653757,34466.03541002845,32372.742892098846,40090.780940417506,34095.160822246755,36038.935628249674,29965.85214471981,36433.79550596046,40682.60202195697,35406.15382061258,36641.315182561666,32923.50811068467,33858.97788318113,31458.643970519886,33241.420500433596,28415.76260229351,27665.18653536749,34194.748344182946,32153.66343100862,30565.791330644322,33665.66780113013,31989.656312933566,35106.48177272802,33787.69591761386,25933.313117508274,42475.54222656224,37836.92710576712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,30035.468535989807,4402.287523055079,0.0,34011.474517540526,34179.20283457529,32053.337969366043,27031.56795568918,32459.72020889869,25427.40799213353,33083.12008941348,31634.350823584053,35221.83833547894,27789.10170796755,29871.69417605336,40682.60202195697,31378.148076491405,35081.76408902879,31067.015651453275,31030.15169342246,28658.1648970711,24059.010951434655,21215.13523011962,22105.232092249193,28973.96286658452,25322.78386106475,29925.954860961567,29594.103802735426,29823.868613342533,29868.407375926763,33787.69591761386,24719.935889591783,36709.67723456693,24297.624343378113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,25876.828076785558,3752.8015708128996,0.0,28450.051016883284,26139.075951836945,28793.28109544002,25090.735912056356,23656.911241564285,21607.2215298295,30687.15685195108,28750.729813051737,25470.29584572041,22365.839508827066,26462.30308331904,35919.71162242967,26671.239418487887,26371.05403295552,24170.51942187152,25412.085388072705,25480.93857936208,21663.839587338152,21215.13523011962,16052.07944004232,27416.171252696786,23920.447493957003,25781.541941684867,28789.850654787257,26258.101109545016,26017.536270341618,24507.385423985303,24265.44965714693,34620.5295848846,24297.624343378113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,22203.28996800251,3148.0291595022572,0.0,25047.12619628508,19759.512188576467,24262.920101577714,22370.997784180272,23656.911241564285,19810.650491318138,26717.95722831693,20718.650137476274,19436.591114176706,22365.839508827066,26462.30308331904,26719.23968180018,23113.952911760465,25341.19033074083,23611.771163593363,16191.684089268801,21446.430953628358,17399.41321888537,18726.732527012322,13644.982356346296,23069.44137521436,21598.371916842043,22323.338632211,22167.40772313842,24296.843703610535,21670.636686746708,22423.639471766906,20487.25905546806,28108.31113331057,23148.59303311285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19746.91125711805,2915.4272764096163,0.0,22013.61657285913,18677.624239726938,20566.162369042962,19867.826049091385,20356.608768967173,18076.052245378716,23686.76845293781,19209.288784134093,19436.591114176706,20103.326131747657,23085.667844164207,24960.2397501797,20598.470890536588,22189.281103943627,19257.030689918116,16191.684089268801,20155.45776553831,16465.671589133926,17656.59402332842,11076.766865535503,22993.995499896806,21598.371916842043,14755.597103632235,20013.223245229194,20601.05874864589,18416.882649331517,17708.57155769931,16788.29670250659,24619.117545146015,21281.493405001976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,17564.14375663489,2628.2653413263943,0.0,21005.54119612548,16822.26706506317,18529.829402515494,17684.59656803622,17630.4627158944,15896.82572108978,22061.47083932345,17179.95034313538,16139.29160240565,18592.23811549763,23051.274291946684,22205.787248424058,18845.057981838054,17111.39579692002,15145.463283986546,15733.026955810506,18754.559401142506,16465.671589133926,16553.75716264312,9829.276932352906,19692.931558618915,19419.549971988854,13164.470104539398,18895.506114374773,17768.116861691196,16944.53737871187,16043.925448644617,15346.926708648638,18698.381658828068,15712.222679715425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
