项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,26.25764319716757
标准差,6.836800955496598
最小值,15.582293883641876
最大值,43.30158800731414
中位数,24.46905224113374
""
各Seed最终结果,
Seed,Final_Best
0,21.659367204188353
1,34.34365156162659
2,24.11867775317557
3,26.27593848648405
4,19.71465112216858
5,18.237027629078103
6,15.582293883641876
7,18.35848258637299
8,24.8194267290919
9,33.52610398396781
10,24.866546626409242
11,23.14746838989725
12,23.36658032426158
13,21.560293655928167
14,31.132644201699094
15,36.324734964713194
16,30.424565544993563
17,23.27459379366264
18,29.723646171019343
19,39.408572817760394
20,17.605760885145667
21,43.30158800731414
22,18.4335087149855
23,23.310540459539496
24,33.3708070665107
25,26.744996858027
26,21.57506243604149
27,23.2464570861698
28,34.99542126069853
29,25.279885710454526
