Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,-531.3878648778895,35.325200928943026,0.4282353490642003,-550.8842234432709,-563.2530331243481,-490.57066453960465,-534.1973672009509,-463.6601379302856,-511.6899298651532,-561.9120922689444,-552.6305387791616,-518.276648183281,-578.5517089268604,-496.67579621345965,-529.8551183911143,-534.1641773575305,-615.5535168678789,-530.8286438376283,-582.3788894664868,-529.8037802578052,-494.5341130307188,-476.4880934341229,-482.26023702992006,-569.8627654557272,-544.0615931127537,-575.0796100752168,-527.8452461465681,-542.4472088543216,-506.3914951223976,-549.2426082825356,-542.0825866354969,-504.8371484387365,-481.6169740644025,0.12685251704391676,0.1894470564339388,0.19027800943785964,0.5675025586623287,0.42491419541124686,0.5418848506332594,0.40546526519157006,0.4462177950011273,0.5577817980832677,0.75,0.36727346130306004,0.2798719396568201,0.75,0.1318978817107296,0.75,0.07706439125723945,0.4043266404670198,0.6725263989448985,0.4347350260250076,0.5,0.45359664360432955,0.4722447902041707,0.6124748321053197,0.508687399253976,0.3732351125701403,0.3930431584915495,0.22697308002412994,0.5,0.29707411398253925,0.44169155642656244
1,-644.7309016241384,38.226464933040525,0.4208654074059426,-601.8527146128773,-675.6076580449399,-589.1209498612717,-717.9892120094626,-646.7319105897731,-586.1923451790482,-613.3281022225801,-656.357532841882,-668.3834243949644,-661.6449984738259,-651.4979837339109,-676.8741189727132,-666.5855041777016,-688.1626425830804,-630.9986049586214,-640.3421403325638,-603.1785887142037,-594.4040654938477,-631.263894659291,-658.1306311255858,-633.185555432443,-726.1682582444345,-688.3568365708454,-658.7299159636368,-620.9289687887261,-592.0054698415544,-711.2151957501312,-610.6563292502725,-621.7442565913215,-620.2892393086482,0.5540466594525184,0.3306506561837373,0.45124523730134036,0.3488221812003176,0.14678760184469852,0.5322115935214206,0.5677290685686803,0.3670269867693637,0.47195158444258756,0.4581203031378048,0.30480489318026915,0.3263627949778607,0.4966343412393983,0.4675664568454653,0.43075727646589135,0.47774693663718765,0.4177317161851614,0.3318515850058064,0.3434869934117273,0.3710423201248527,0.5367095926915486,0.4298851236172644,0.42337836518723926,0.5134538758317064,0.32197325440446245,0.43864398520066655,0.49450758179864496,0.440776253562006,0.49443931960498155,0.3356176837836656
2,-718.6359510045173,23.993071861428387,0.23896127520464353,-703.2528284347127,-753.7496410981147,-657.2031711258473,-752.4319353452997,-702.153204765157,-708.9920156797666,-724.4961866084104,-721.4970355269322,-719.6162210157976,-714.3628226611858,-698.8191766073453,-741.7040514659386,-737.9453183079447,-741.4180087610821,-743.6913296440589,-720.5670742123355,-691.9737034510338,-699.9476080117533,-698.5006958102674,-720.8377430694512,-691.517353107581,-769.8856288558626,-732.9729324080946,-736.8806623603525,-693.104073263139,-688.5941039795184,-746.2214895885226,-708.9175571059639,-729.6101998170008,-708.2147580470537,0.2751600989665014,0.31098923687540186,0.23914169892890264,0.40453312928067525,0.22956055964844777,0.3168085778351417,0.315987988327789,0.19032008981543602,0.2843298023396853,0.12241239935782615,0.28726303542707454,0.10093259644889564,0.2231425151716799,0.2659115683556991,0.2987713929027599,0.15455879607330877,0.2360103292851371,0.2226910561002183,0.2424354482150261,0.23362519540707039,0.3213696206447453,0.2984568663991235,0.21828480838876194,0.3014308152459217,0.050863390517137536,0.24978764269261838,0.17115355933269205,0.172302447362504,0.22861619180784437,0.2019873989852801
3,-779.0303828881476,25.518700968107098,0.20629007591053403,-766.9981840798922,-778.4311812321416,-716.5717822058573,-791.3738174048608,-749.1193373240853,-803.6149352420925,-792.2045581024945,-788.7524409646413,-766.7083215246862,-777.7796083525094,-763.902119383891,-813.0138725765836,-811.07160385264,-808.5503342160916,-791.1263942246404,-772.5277819907122,-816.0490819267447,-776.3952797088108,-737.6684439205391,-775.1749610088826,-753.8906926239812,-817.3151852587459,-814.9689526360356,-785.5525509038318,-745.8558029813697,-743.9323691431701,-799.0497536034798,-768.5546761480459,-756.8816200874445,-787.875844015527,0.34908763714157487,0.27262901294182135,0.28580710172199375,0.4151437721741089,0.1821688741795658,0.1913180820850574,0.25544867955936046,0.10394847799145529,0.1260110767077053,0.176305097341314,0.14977481594653227,0.10625752118562506,0.20277044943168665,0.2352460905951122,0.4249189940776611,0.19499236171133327,0.146831515379066,0.2275080714329319,0.14004892789562368,0.11974411812045144,0.21841076711418406,0.09618385474973606,0.28622758815840893,0.14450793861224623,0.19794560774411055,0.16238881417576698,0.20912918376196146,0.09208230519624812,0.27750793954866915,0.19835760063470878
4,-827.1154136646412,27.499991119969987,0.18015512240758585,-805.9255841734798,-839.8134801852937,-808.1109755151266,-843.3455456289818,-790.0972238721519,-816.2772602538495,-832.3850161436861,-887.1035426978391,-835.0517036774413,-815.0752036531667,-838.9907281930753,-849.088912931789,-845.7628400381719,-855.7442716472933,-846.5389990456692,-819.9756601383702,-839.3943055885408,-802.7942234632782,-808.7862558276265,-796.5913759076288,-800.5183189172482,-859.9523249385807,-901.160161766746,-821.5145352354602,-783.3719885524739,-803.8248837561382,-848.5911429606263,-811.3137009224467,-791.161810630074,-815.2004336769737,0.3482770939490783,0.19547203413834768,0.18151466214512652,0.2955972281431375,0.27674355726304156,0.12253311355625252,0.15728287292511825,0.12555318638463067,0.20364673145806547,0.22363457716215474,0.1653006411330541,0.12930315168887163,0.28854007475698396,0.21105860663913983,0.35629029397901724,0.2007338239225236,0.09161519846845081,0.1274885492887523,0.0707261011782506,0.11805221963805942,0.16145492846473725,0.07273326669573249,0.16545891219837536,0.10740665806275371,0.1597251306739735,0.168374696924807,0.21702348365045132,0.19952179233744197,0.11660603092532197,0.14698505447592425
5,-867.8479374504896,26.504791086029915,0.19481068102263116,-877.4884901361393,-874.7618320943424,-863.8218900402154,-869.9604402849554,-886.9878653674681,-864.527411508176,-860.1326570993294,-921.7847686062408,-873.0518585861282,-835.8559277941096,-876.5975170720719,-881.6103723501732,-891.5936755753793,-889.1028024133627,-888.5459473713656,-852.7839462607907,-882.2486219861876,-835.9689498979935,-826.7511751696628,-839.7078682289879,-823.8787518092594,-900.3300788928523,-928.6395060690999,-869.5037468981106,-815.2694113472371,-846.5085160008134,-889.1448162725239,-850.3991586377649,-864.8468373230871,-853.6332824208604,0.30665692532136374,0.1917979161343526,0.21284054483566275,0.26071067553122085,0.2512569874455217,0.06424558963712265,0.09773901122139614,0.3943266518295657,0.2591621469305264,0.2783046103174383,0.120179858118626,0.0726630747090623,0.30085668977402713,0.2500425559770077,0.3219348063031118,0.16286049313917822,0.20527868737992033,0.1382935814813428,0.07099835383825083,0.14314094213328699,0.17265771645990474,0.11752912743128044,0.1595304205319869,0.1381931525796667,0.17000357360364823,0.11283369884703143,0.2581162487515896,0.16068245445504392,0.2408435797919263,0.2106403561688717
6,-901.9607174869495,24.557678170766316,0.17571172977082813,-925.5231151950921,-905.5114312703985,-890.265733299918,-935.1874384995851,-894.486493408209,-885.9101100023247,-891.1322132825047,-939.5514466868536,-907.4799652186346,-867.4774115499753,-913.4363694849684,-905.3664466340219,-904.2749227121683,-939.3448213851091,-920.7165534932482,-880.1549593972179,-916.7712042135822,-898.058973431652,-865.3384123990667,-879.9915897577315,-885.234339021873,-912.4881000949774,-945.3920682453617,-905.8560026985633,-843.399043633946,-866.066491877965,-927.1682591613207,-893.3196958019349,-884.3916131186677,-929.5262996316162,0.24826782968230485,0.1631382538067261,0.15896597561472106,0.27515493537613855,0.23757902076280124,0.07413584262612881,0.13588650756709825,0.3304471064642572,0.16625871272964127,0.26032968775574317,0.07526640989982547,0.09991105754161539,0.23082706804521141,0.15268985753485512,0.27878394461843553,0.12478223350900702,0.17981776176386366,0.1308273575226447,0.1776104854630028,0.09035635798253103,0.19627060936848395,0.10073020882033352,0.06649818608641606,0.12695213892743534,0.15773800521704892,0.15331358744082252,0.24070481006086752,0.19548396262595064,0.26452104787570346,0.1781029304352296
7,-929.9776460118137,25.026629264416332,0.15405124388906924,-944.2421969098841,-960.700006733534,-918.7307930195226,-967.8604554468667,-929.6858566255645,-919.2704898311359,-923.8169864769573,-950.5403267804669,-933.2053371138443,-912.1627094760549,-927.4924488824282,-948.5198274254318,-945.9212037778667,-963.9218028829321,-933.8466835637524,-902.4807841517571,-937.3078575318259,-931.3666920026361,-892.5538537020351,-905.7570298357629,-899.644203661247,-941.0662377969302,-975.5672818890235,-934.9523703998443,-858.6672952084847,-903.7093103485212,-945.6194268826367,-920.9118386655055,-909.3049213758746,-960.5031519560773,0.14748030450716004,0.1062266005002225,0.10970443023311613,0.2866955277662514,0.13053162240147537,0.06364375619457355,0.18242742168332962,0.2560567136405374,0.08134020098261399,0.1797724950148767,0.048978062311309474,0.04343335985537003,0.1648568524956348,0.141891860798249,0.1950038416957269,0.14973452945224774,0.22373148537192683,0.22518110722335963,0.14494293262395772,0.2221385524162883,0.19369233779395612,0.044988807839693966,0.08809278567032917,0.21089619393446002,0.13821832110927948,0.13358879685230043,0.2741284800909484,0.15400762057291498,0.18230305369389896,0.09784926194606847
8,-956.7016703421882,29.838778527172483,0.15838546931866046,-989.4385857258194,-989.3938995423111,-939.4441111541303,-967.8604554468667,-970.0401378333639,-975.4519889525905,-945.8149584015644,-980.1766301634833,-960.821995270816,-919.9467335207863,-969.3459984839277,-957.0493210135718,-975.3083090286464,-983.5016049097139,-942.141184506968,-922.1985391700306,-947.5356244758395,-950.9805326860186,-916.8309227274866,-941.0077448436864,-917.0981172516576,-949.3537039040792,-983.1897687750698,-957.2759716460188,-876.9574010117404,-919.5533933632681,-964.2159468615301,-996.967458514297,-963.2160825505274,-1028.9329885298275,0.15661380877012882,0.09701049202749801,0.16296213448382574,0.224862545756326,0.08926728145212098,0.12678612997909977,0.14858772735825077,0.26496901226474034,0.17133362393158097,0.21722593595806053,0.12004812455339585,0.10478416579469452,0.07213802020941082,0.07122679791658965,0.09700425736703894,0.2406448403047499,0.22305979102042894,0.20260818298309072,0.23290268661420868,0.1712852972498094,0.08835716276914199,0.13786580853297165,0.22833411644313395,0.20633131329509802,0.08433392521973461,0.12721703708873727,0.26244332991503855,0.16822660374062948,0.1846399773604543,0.06849394919982425
9,-975.6187265614923,29.699973098788178,0.1676811913080338,-1009.1611136738342,-1006.3302920018813,-952.9017614084179,-970.4263251582382,-1003.7986902305934,-975.4519889525905,-987.6890988253476,-985.2409854682217,-989.7800241521204,-922.2216022516274,-978.7926079439394,-977.378100356409,-989.7245371633555,-1013.0220752207846,-962.3771698048353,-940.5403913563756,-990.1389133632183,-996.3231220457402,-937.5733411383953,-959.4817163837099,-941.3751467381851,-974.9326444678563,-1010.5743011129538,-959.2771814683026,-900.7533762849204,-933.2396243156679,-987.7153058231623,-1012.1211914927976,-971.2861797114576,-1028.9329885298275,0.21324437295283016,0.07289065429025504,0.10347350310369642,0.22919091440660694,0.15183534943316956,0.13869263257466954,0.12566118618886982,0.29228551570109734,0.18370999982832303,0.21499703953525062,0.10506111466021234,0.10490669119403478,0.04510608303511085,0.11043775323621619,0.217696862021798,0.20521779981308097,0.24479118038040112,0.1899969941954811,0.2346940197072488,0.21212171326371915,0.13472344637684325,0.07430899922451453,0.20060542774754506,0.1376122615785886,0.22983147296459067,0.14327455925796517,0.29271689726851596,0.22469971220794627,0.13149048624074106,0.06516109685169184
