# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,506,107,66,95,61,99,934
State_1,936,413,197,188,127,204,2065
State_2,2128,1190,266,277,260,296,4417
State_3,6837,2001,399,488,419,390,10534
State_4,5373,2299,364,363,332,313,9044
State_5,1514,234,49,38,56,79,1970
State_6,23177,8948,1288,1277,1208,1185,37083
State_7,3376,386,152,145,146,165,4370
State_8,409,38,28,25,39,17,556
State_9,767,282,142,164,141,191,1687
State_10,3476,2645,566,609,595,593,8484
State_11,3981,10746,1406,1319,1368,1383,20203
State_12,4541,1582,228,269,202,202,7024
State_13,5969,18353,1011,948,987,1049,28317
State_14,3900,4642,321,313,290,317,9783
State_15,5767,1998,290,290,284,263,8892
State_16,4845,3521,329,293,318,308,9614
State_17,844,136,22,26,38,58,1124
State_18,257,83,58,46,82,29,555
State_19,2699,2393,706,877,499,521,7695
State_20,2956,9184,1257,1421,1392,1265,17475
State_21,1761,246,409,402,287,538,3643
State_22,3700,15826,957,1077,925,855,23340
State_23,2726,8672,531,709,417,459,13514
State_24,961,351,54,23,71,36,1496
State_25,2914,1093,171,256,154,142,4730
State_26,1055,157,37,98,64,40,1451
Total,97375,97526,11304,12036,10762,10997,240000
