项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,-1174.9823448546454
标准差,0.0008345220021133718
最小值,-1174.983761331333
最大值,-1174.9806604447656
中位数,-1174.9825472654725
""
各Seed最终结果,
Seed,Final_Best
0,-1174.9836882226382
1,-1174.983761331333
2,-1174.9810297791578
3,-1174.981295127487
4,-1174.9834670670452
5,-1174.9829771150012
6,-1174.9830124818743
7,-1174.9818778768276
8,-1174.9810406129131
9,-1174.9828610137326
10,-1174.9807798090173
11,-1174.9823519311094
12,-1174.9814510935473
13,-1174.982577062829
14,-1174.9825174681157
15,-1174.9828241121616
16,-1174.9823453456681
17,-1174.9828715336807
18,-1174.982802940236
19,-1174.9824781443995
20,-1174.9829143245302
21,-1174.981761538796
22,-1174.9826592474678
23,-1174.9819996945803
24,-1174.982969141536
25,-1174.9813810779403
26,-1174.9821708774086
27,-1174.9826039384996
28,-1174.983215285068
29,-1174.9806604447656
