Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,-531.3878648778895,35.325200928943026,0.4282353490642003,-550.8842234432709,-563.2530331243481,-490.57066453960465,-534.1973672009509,-463.6601379302856,-511.6899298651532,-561.9120922689444,-552.6305387791616,-518.276648183281,-578.5517089268604,-496.67579621345965,-529.8551183911143,-534.1641773575305,-615.5535168678789,-530.8286438376283,-582.3788894664868,-529.8037802578052,-494.5341130307188,-476.4880934341229,-482.26023702992006,-569.8627654557272,-544.0615931127537,-575.0796100752168,-527.8452461465681,-542.4472088543216,-506.3914951223976,-549.2426082825356,-542.0825866354969,-504.8371484387365,-481.6169740644025,0.12685251704391676,0.1894470564339388,0.19027800943785964,0.5675025586623287,0.42491419541124686,0.5418848506332594,0.40546526519157006,0.4462177950011273,0.5577817980832677,0.75,0.36727346130306004,0.2798719396568201,0.75,0.1318978817107296,0.75,0.07706439125723945,0.4043266404670198,0.6725263989448985,0.4347350260250076,0.5,0.45359664360432955,0.4722447902041707,0.6124748321053197,0.508687399253976,0.3732351125701403,0.3930431584915495,0.22697308002412994,0.5,0.29707411398253925,0.44169155642656244
1,-588.8892659520599,40.42131711080323,0.12525694093955378,-634.1153583690415,-563.2530331243481,-562.9487983450255,-576.4639607867365,-679.9315358964642,-511.6899298651532,-591.1011953141577,-582.4911859400503,-545.3117377854858,-578.5517089268604,-559.6321259814206,-556.6578328091629,-565.5266303701574,-615.5535168678789,-569.7625958968628,-643.6602088237074,-546.2201939523572,-579.6139482129486,-641.8664902131526,-623.027100009217,-620.9928123472431,-549.0803642219292,-663.352802548075,-572.2808876995678,-625.5215188197157,-531.4177745214766,-549.2426082825356,-620.0776392042977,-584.5843766803316,-622.7481067464367,0.04734030414803906,0.051970926212630705,0.0345556191338158,0.16535630973003596,0.0,0.08360733765133446,0.17975091822989095,0.14809233690725854,0.2125895059103469,0.1182748932310988,0.20997855467049,0.18459867609691644,0.18241876257887907,0.17968684822369724,0.046135651177509215,0.04387302167658373,0.09836044597639326,0.17896252858561007,0.11907983633351438,0.14710016662280895,0.16126995296972527,0.0961775946567601,0.18831272513356356,0.13505369294277392,0.07409162934123202,0.12568719238719592,0.14790353048643665,0.2051743049107136,0.01164233275847197,0.180662629502886
2,-636.4787654017601,38.840222969252224,0.1231595663441992,-651.402556363724,-641.5066239542427,-596.4093149828961,-645.5163285765626,-679.9315358964642,-570.8280841710296,-622.9549791534222,-582.4911859400503,-605.0965363716214,-600.817091008073,-596.69801437927,-605.5188646042233,-691.5934381475761,-721.1844437648916,-577.3608130831398,-675.6420731654268,-631.6091379059775,-636.9237811067561,-656.7934672519486,-670.8853714009583,-648.036746719771,-679.047583439239,-677.9958872329155,-684.8129011154174,-633.0764858680278,-573.3176876946928,-625.3469703416434,-663.3645718695021,-599.5353901049612,-648.6650964383806,0.0,0.07899997854343946,0.11994246759895341,0.21609073529058587,0.09233681568207133,0.18287593881924546,0.12060683580084539,0.049808145543211654,0.17061163148988887,0.14221932247839214,0.22229907000756893,0.23704322553175755,0.28681442365687976,0.13136517548400942,0.033066735580621495,0.08740597833968025,0.04800105634570084,0.15952179104201258,0.19134972351103238,0.10878068927667756,0.15640486363835931,0.1512247046821073,0.15845727309417845,0.1457754236740274,0.09444505628755709,0.050913146052540714,0.06960049201777149,0.02158751573009788,0.04241622623742048,0.12482254888934168
3,-670.5813206940169,28.169138577665425,0.12650661805199376,-682.2732516177773,-641.5066239542427,-638.2149570249956,-666.9090049140381,-683.7747308314964,-663.6545089817482,-667.0806234655114,-645.029706419543,-614.2130189948651,-625.946239108281,-666.0699239145571,-647.4347985572847,-691.5934381475761,-728.786987730789,-627.0978365206379,-690.0518889380185,-670.7712063280634,-636.9237811067561,-685.3525077250866,-670.8853714009583,-735.1039269220893,-679.047583439239,-697.346450304891,-684.8129011154174,-663.8115029054715,-674.9068997087189,-654.9637231794642,-705.2724114938618,-702.18326366642,-676.4205524027079,0.02012137409795083,0.11858008074205065,0.03920264650438087,0.2600582161524021,0.09420997982964319,0.11272876651291917,0.1317683690169287,0.0273505256432449,0.07233894663654014,0.08042947583782811,0.1964272389479354,0.21983046779372933,0.1533123779620491,0.1762027220327883,0.01611774336613641,0.12368741759010982,0.07738248044847373,0.2750750594221615,0.17684361045970226,0.09956660184249182,0.19273242020777664,0.027985015466329585,0.1436578906909513,0.14930066036320644,0.11093270471350064,0.07256231993217896,0.06817842383187028,0.012528826020735287,0.25205421317216303,0.29403196632163453
4,-701.586010624537,23.650633422278734,0.14401611060172717,-691.6500275185244,-687.0670880723669,-669.365473515804,-692.7089640785093,-693.3425773179272,-663.6545089817482,-732.0459907915003,-697.7258571474994,-723.1226910255551,-697.3143125171589,-672.6492753729711,-699.5408004788811,-726.9121085932475,-755.879721146954,-701.9039893298769,-710.9799787649894,-670.7712063280634,-679.4604299102318,-707.3894626319624,-717.1398230469655,-735.1039269220893,-709.5797717236424,-746.2840799643287,-705.3902183293492,-663.8115029054715,-688.7761882548128,-700.2077356946586,-729.1987923018961,-702.18326366642,-676.4205524027079,0.08362367367190326,0.07636089887709502,0.0518652675717995,0.2715297730869628,0.03318097129204728,0.007071713143518268,0.16805942396438756,0.07003391138809127,0.05988671920402385,0.06485771144061485,0.13119066558891893,0.2650170080988621,0.1534547785429386,0.16686209870722682,0.10154388713267459,0.12645272889699372,0.10667850481508401,0.4241179080774465,0.10894526229711338,0.17210711309837323,0.1754274217191416,0.004193871605904299,0.22793639658191855,0.1703610980285133,0.16039071402003077,0.1955069822551681,0.1934181225028916,0.05221905811003123,0.297085913146494,0.20110372118564737
5,-730.5553157484617,26.736279334765616,0.16005960757659174,-745.4887693148669,-756.1429777975627,-693.1354553510673,-710.0414818496516,-757.6832166834504,-720.7418923087369,-732.0459907915003,-697.7258571474994,-728.1507504835583,-721.9085099671238,-700.7602605343305,-756.266350712938,-751.8367156450093,-794.0514189663159,-717.1992498839152,-727.860783937637,-700.159883772768,-719.9355685747048,-730.1584355679378,-748.8870169298101,-781.0643288370511,-741.583725842457,-764.558707887584,-705.3902183293492,-679.716615106376,-688.7761882548128,-725.7295548331405,-747.3890774912525,-736.0489796403324,-736.2214900111086,0.14098824621791375,0.07321783207362062,0.09420952996964094,0.2638800778737216,0.11290132232216937,0.06092633147464115,0.27814137022150087,0.1509820639014817,0.05896039750734564,0.11775715431712373,0.08934176543855146,0.20792558129355646,0.21783390296196278,0.11136258763617465,0.08668039453314813,0.12262135958616294,0.06539347364600002,0.37492810288786405,0.18674642831388916,0.17179104204388077,0.17104885593073066,0.09877958825660957,0.1870893659501633,0.13627106044113285,0.20167729316929145,0.21082275282456686,0.25340999521802465,0.15819564104891476,0.25897933782524873,0.13892537241272068
6,-763.2545621113181,21.46699828469989,0.162976328131765,-763.7387048881078,-756.1429777975627,-758.859662210421,-750.8758445317706,-781.1520144632013,-768.0437533673738,-770.4644406697116,-735.620634046557,-729.1241718017409,-797.4538737371233,-767.9553860689754,-761.9782688828461,-781.8732294961098,-805.1271730185854,-742.7838849367976,-770.3968481400253,-739.3724791287189,-739.5181236084466,-751.8652425827753,-786.552008119747,-785.9583328493225,-790.0768799519213,-792.0388910534965,-770.615954928676,-735.8413949069927,-755.1873558174318,-730.6652542155551,-791.7925378962493,-750.340050212192,-736.2214900111086,0.125363757563702,0.038214122364082864,0.1328650288254411,0.268536717860496,0.24918565256786251,0.12956943649377076,0.3510352890603729,0.17282702167252229,0.0362937541143397,0.1339988412729119,0.11908400010147882,0.16753008494895316,0.21418680463012385,0.08553734815863966,0.14506312874316446,0.12797768258225933,0.07775373888292005,0.2768938628078379,0.24708578914602547,0.17676828406054756,0.12249203210388278,0.21474204673159916,0.17097479474944008,0.0750402942059564,0.2122708997989946,0.08212562673425083,0.24044075921824765,0.20861134788498487,0.16053793388764553,0.12628376278049594
7,-783.9993516736776,18.85196154455819,0.1678978923884799,-789.4895575286746,-811.2148720615827,-758.859662210421,-776.3468708072124,-797.2287941130205,-768.0437533673738,-781.3298105932352,-776.2463894707221,-767.3560762231233,-807.8652422333264,-769.4498251656825,-775.721234836307,-796.8017009112282,-810.2096093862533,-768.8058401749622,-776.4999251048961,-819.8282719173293,-772.7527424196717,-791.7518965036635,-798.4213817583793,-795.7723430492939,-814.076848047354,-795.5946963596045,-770.615954928676,-735.8413949069927,-775.3146342597822,-780.30935503975,-804.3330797897962,-766.3586468942824,-767.5401401477342,0.1367531241348088,0.07009943802774031,0.0973211771578932,0.2696435002583575,0.1693299979365133,0.2010048612337129,0.3615326815234186,0.10932183051298262,0.10773445521068374,0.11594159156784288,0.16817724543177184,0.14379271533108054,0.19424698049054645,0.10255615924604305,0.17319122333893278,0.12086551414973473,0.06871543344285524,0.2342255925561637,0.32208021569883083,0.18874281537031262,0.16005319198039453,0.22572660559871788,0.17316394770591048,0.13489623522372163,0.17683309340869385,0.1398218574448443,0.17521783359133047,0.20464402836005574,0.11020451996769223,0.18109890575281065
8,-807.0050263031031,20.709473376600666,0.15766106053298518,-798.0233107736727,-835.1942276534795,-799.3479174111964,-794.7115064349422,-824.2397337031082,-771.3030771870373,-781.3298105932352,-791.2547533057542,-793.5683489383346,-828.659401017942,-819.8796213864599,-779.229122172266,-827.5522904036734,-831.878891696946,-791.057996385436,-809.3863893468985,-829.8387769951402,-793.0854433692132,-791.7518965036635,-811.9727048937827,-824.4269487118606,-814.076848047354,-817.9315836089379,-796.33589292014,-771.1909817444016,-833.1229991066716,-841.1700950506831,-824.1221749775965,-814.5633254210906,-769.9447193321745,0.09646095417095613,0.16821657445441934,0.15023099618969776,0.23988546195687055,0.11426131197459422,0.18416908225915551,0.3399974312741392,0.028703798856125354,0.14796486095084396,0.14548775599349356,0.13752747446931898,0.11493912511273581,0.16079465524071818,0.12361856755636083,0.10820910398454565,0.1365510998309481,0.1364632358467548,0.19384773741916628,0.3008184603734461,0.19298244912057472,0.20281617054096923,0.2026249895299243,0.19053203608467628,0.05524706921668775,0.13311819804304242,0.12481770541608882,0.13765802803001148,0.22161774849991817,0.10613372121148293,0.1341360123818886
9,-824.3094082558551,23.83789231939574,0.14065498879095226,-851.6620938147216,-850.611210582764,-804.6313050917571,-807.3949116708202,-844.5511924351531,-785.6752888075904,-801.3755666607688,-817.2795967195879,-793.5683489383346,-854.5020806216378,-828.9189956517523,-805.6596166285436,-827.5522904036734,-872.8821946863698,-868.5178299116457,-809.3863893468985,-834.0126465469522,-803.5908220152542,-813.8508444864506,-833.5226679547253,-854.2466772485269,-814.076848047354,-836.1078036340346,-821.8951836534861,-782.1985124084405,-835.3566829613958,-841.3961884762155,-826.0768293277744,-824.837989395973,-783.943639547051,0.06223818316288925,0.23028446005305744,0.17711422721883807,0.15207886507874865,0.08528096495157533,0.1255696453608629,0.31845831079584985,0.0480110745560195,0.15578378578354882,0.10570136941101084,0.10349053979096401,0.09390539185611532,0.08091905343639116,0.1563275193361219,0.10667048364365553,0.13478453991455258,0.07749759421546223,0.15112065739640335,0.26047931208368835,0.14675902769832835,0.12201072207884098,0.18126984087876874,0.1956958833689303,0.12297030649467838,0.10578749682000027,0.1125845118284167,0.12323090020748631,0.2114660351526893,0.13413092673280697,0.13802803442186684
