项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,-1094.79700627724
标准差,21.995735002209933
最小值,-1146.5614041260628
最大值,-1061.7913212185733
中位数,-1090.1035222774017
""
各Seed最终结果,
Seed,Final_Best
0,-1075.9671749734623
1,-1104.219219990053
2,-1075.9400638367674
3,-1104.2507531731744
4,-1061.7913212185733
5,-1090.0573620954628
6,-1104.249449651882
7,-1090.1158658342188
8,-1146.5614041260628
9,-1075.9691146620412
10,-1132.4640217313508
11,-1090.069650499271
12,-1132.5336713019844
13,-1132.5093281785566
14,-1090.104336100361
15,-1090.0843283863628
16,-1104.1744120160627
17,-1104.1796100810209
18,-1061.836999507273
19,-1090.1027084544426
20,-1075.9028144349668
21,-1090.0654921901705
22,-1104.2290185296267
23,-1104.2370543133995
24,-1061.8424905860015
25,-1061.833261863263
26,-1118.380219940425
27,-1090.0840164836825
28,-1104.2181049359338
29,-1075.9369192213435
