Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,-531.3878648778895,35.325200928943026,0.0,-550.8842234432709,-563.2530331243481,-490.57066453960465,-534.1973672009509,-463.6601379302856,-511.6899298651532,-561.9120922689444,-552.6305387791616,-518.276648183281,-578.5517089268604,-496.67579621345965,-529.8551183911143,-534.1641773575305,-615.5535168678789,-530.8286438376283,-582.3788894664868,-529.8037802578052,-494.5341130307188,-476.4880934341229,-482.26023702992006,-569.8627654557272,-544.0615931127537,-575.0796100752168,-527.8452461465681,-542.4472088543216,-506.3914951223976,-549.2426082825356,-542.0825866354969,-504.8371484387365,-481.6169740644025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-617.7415541806411,49.08375601594409,0.0,-550.8842234432709,-708.5397161632117,-556.6936627034303,-620.1674945185479,-589.0885741732583,-609.960754469062,-568.4751897643476,-552.6305387791616,-614.5860001490788,-635.0426754794421,-595.0394231010326,-549.7172080708528,-693.4092148949115,-672.4050014524815,-587.7248142308977,-691.0706643423714,-623.6551305179811,-624.3305234568741,-686.8401320288688,-605.0812094640386,-671.3840281169229,-563.1309910150409,-700.6118670571591,-638.8549773653147,-610.3313718696916,-605.8507301356108,-679.4145906142999,-562.4841774135666,-589.5903898268208,-575.2513508016832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-687.3566669967191,43.39581633513588,0.0,-672.5977704719787,-729.602591934978,-619.5674153643674,-717.987736781952,-631.1063317968622,-659.0076705467692,-685.446856984005,-651.1069870881729,-692.7525049740055,-697.2806338416514,-677.1179743227655,-633.4029581530682,-697.5383991855329,-735.0951243129305,-643.9281202390939,-731.5887859831577,-623.6551305179811,-676.8962972546011,-725.1593770334135,-721.9247921703894,-698.3115554061632,-633.341705087512,-789.5557664338673,-725.579263897255,-675.4586298808304,-688.4207292716477,-750.0599622980225,-752.675644441282,-633.2128174784553,-651.320476748859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-741.436170509701,47.23681165887173,0.0023814343905118173,-761.7358642856378,-782.100653594863,-666.4234245307301,-762.5657293490463,-675.7120974375615,-729.1453447270418,-768.0267140857607,-728.837190172981,-729.5944344113176,-763.6852386764233,-732.9422470289867,-719.713261445353,-751.8760598678477,-799.59111691154,-660.2104365954194,-773.7552887971277,-639.4844598419245,-747.5916216607459,-809.653666499762,-771.6891871728977,-705.7958872143338,-671.28234236382,-801.8574553377985,-792.3490094955201,-722.8638076593693,-773.1904067050739,-813.3373967204633,-791.2842418615264,-697.16046427647,-699.6300665636865,0.0,0.0,0.018771281994777567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03617387473614409,0.016497874984432857,0.0,0.0,0.0,0.0,0.0,0.0
4,-783.3959473474113,41.382006118742645,0.01732229190866832,-761.7358642856378,-839.0038298460712,-734.0306509456466,-814.9919092045894,-758.534951559605,-767.1580387073901,-790.6211435105386,-741.8015754372273,-782.9557218120893,-794.7139488335908,-783.593446123262,-802.4123814035144,-760.6858635545326,-844.9019544861648,-705.331348224419,-799.553908232364,-723.9434457497043,-791.8174776902695,-827.3074551810527,-811.077917547878,-714.8587058575653,-752.7957404419994,-843.3297579561524,-820.3447112197935,-745.1776068267925,-805.5920375883237,-871.3870973153251,-818.1172729407696,-755.2786127654538,-738.8240451746123,0.0,0.0,0.07735322002661078,0.0,0.0,0.0,0.0,0.0,0.0,0.04535594711462355,0.02889971120933172,0.0,0.0,0.0,0.0,0.0,0.2171118688910011,0.04493854506066202,0.01544157514713712,0.0,0.0,0.0,0.0,0.06478900563222795,0.0,0.0,0.02374306149524905,0.0,0.00203582268320645,0.0
5,-815.7811064974763,43.845977693443594,0.032558063028193245,-810.4737713277268,-871.5009794283909,-788.6984374372828,-817.2557017110778,-814.3202118249366,-812.0583288890302,-851.8054480596354,-790.1282734544147,-819.4958528271278,-819.0331764522687,-809.8187164058202,-855.2920623827696,-776.9371445388175,-871.7876501254657,-706.9619108351443,-840.7963164804851,-723.9434457497043,-828.1616685657677,-852.5237651731708,-864.1655288695239,-735.2110285037855,-812.5861283873369,-843.3297579561524,-851.8120542080085,-770.069768888573,-830.8317309525952,-893.79258007225,-838.97899004613,-813.4754773041897,-758.1872880667094,0.10263723392553242,0.05495758344799891,0.06540274620478699,0.0,0.0,0.0,0.09835142724133146,0.13677755193418858,0.0,0.0,9.895749132280381e-06,0.0,0.0,0.0,0.0,0.0,0.24054494025189943,0.0,0.0,0.0,0.0,0.0,0.12899105556041213,0.12535852384643878,0.0,0.0,0.0,0.006655578396123485,0.017055354287953014,0.0
6,-846.8295492144429,40.81865573827172,0.026633334333756722,-839.0105627038595,-881.8397337231389,-822.849858068708,-848.9549631633961,-831.1970363497379,-816.9165879211411,-904.5114294372823,-834.2542537526972,-841.3311747453944,-844.8405375919444,-839.2965809862967,-874.7153286517454,-848.7516169725474,-895.6988491334547,-743.9895814398761,-865.243980532028,-762.004377484409,-854.736417097135,-873.1816973625797,-907.4081154419845,-779.5160249610764,-832.7532104051132,-854.0395871987396,-916.2975054656563,-793.9916258881638,-859.2622927725779,-908.7925281616392,-841.1921393804304,-869.2283347247451,-819.0805449157868,0.0,0.051673228505206135,0.04197622437873058,0.0,0.0,0.0,0.005657781569031871,0.0,0.09097646768202741,0.13083960743254613,0.0,0.0,0.0,0.0,0.07129437851480215,0.0,0.05209643127909478,0.0,0.0017375045596430246,0.028445829835684878,0.0,0.04214097922845222,0.07303011681250497,0.20201220159013425,0.0,0.0,0.0,0.0,0.0,0.007119278624843355
7,-876.5532769665099,43.25615065407071,0.052310306706318914,-868.3620308417359,-918.5985301512128,-822.849858068708,-909.4251220212342,-863.7991641223811,-865.0285811115947,-929.2506822639446,-908.6894395786685,-871.1473164161498,-874.9166674996886,-854.022209917761,-920.2681899727419,-850.211933822438,-914.1865031922534,-805.8257325832751,-895.1209418370412,-762.004377484409,-885.0498171516251,-883.7304141754141,-936.7837485463799,-812.6477282747247,-832.7532104051132,-878.893644008245,-923.1264803949539,-814.0826207259715,-879.0033556000467,-952.9944686807764,-875.1765576604411,-915.3617664283494,-873.2872160580264,0.1100854586088141,0.002089831721209857,0.07315402276706157,0.03976356751615733,0.0,0.1083316596225096,0.0,0.0,0.1290965548500417,0.1423812545658658,0.0,0.0,0.0,0.0,0.03705344008922913,0.0,0.16176190055547665,0.04678138172746317,0.07315664264403417,0.0,0.0,0.0,0.15978875444790114,0.20313076355031054,0.0011963510345333005,0.0,0.0,0.16424164557581894,0.0,0.11729597191314055
8,-897.882001928857,44.26677999592533,0.0760276097557672,-876.7749501303916,-937.0119998984795,-847.3641407692184,-938.9864153018854,-922.3997427272717,-879.9879908013531,-939.0287823067961,-910.3457032538976,-910.2693524074882,-900.1039212001649,-868.6484391110951,-930.2378096012112,-860.6268268621011,-929.9933930964239,-817.8280961911727,-909.2734597611358,-809.7226343597999,-898.1667427986666,-908.3236303879329,-938.3110512730507,-819.9979985319022,-855.2354959774854,-988.601599176291,-945.762628154866,-816.9532484147844,-895.2506632485085,-958.2977735362718,-892.0461353274868,-915.3617664283494,-915.5476668302282,0.0,0.058544666417251826,0.0,0.08473794104610873,0.0,0.24436524081310948,0.0,0.0,0.0,0.1700631940259902,0.07670409688493371,0.09028471468722027,0.16038847978691423,0.0,0.16123415693423343,0.0,0.2567975730893106,0.0,0.0016419376408128548,0.26462155126968134,0.0,0.0,0.0,0.132165164450508,0.27942034603198496,0.0,0.0,0.22988921205962995,0.06997001753532636,0.0
9,-917.1147041497194,41.36750537275992,0.08648954834236675,-889.2299641495226,-968.9517820119207,-885.6609911980077,-938.9864153018854,-943.257515115442,-886.4496425267359,-944.611803072162,-932.155969215955,-914.2095876319034,-924.7883236678724,-901.7606728222572,-947.1011109008484,-892.2685164462127,-955.9555274910458,-850.0363337021123,-926.9121297832824,-833.4315361834887,-907.4237291709846,-915.6812977541484,-949.2369944558035,-849.5220915520138,-866.4786288163737,-1009.86752032975,-974.4244169876542,-841.9075578540267,-902.2167159349681,-962.5285331343712,-938.1371955334527,-928.6964967341884,-931.5521250131902,0.0,0.0,0.010359835979532387,0.0,0.0,0.14368080369628022,0.0,0.12719232491698831,0.14653312381856357,0.2162270188729649,0.0,0.0,0.0893934191627354,0.0,0.1766878950983326,0.3293362123710346,0.1460582386580198,0.0,0.0,0.35519299427923473,0.0,0.0,0.0,0.03176877250551847,0.3694184337867556,0.0,0.15756141161017723,0.20715065251271014,0.0,0.08812531300215466
