# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,1045,879,238,275,196,256,2889
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,2164,2474,313,290,263,294,5798
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,5430,2289,358,417,458,400,9352
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,2013,2437,555,581,519,517,6622
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,3212,5301,362,481,430,418,10204
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,2998,1804,236,252,571,636,6497
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,1809,2173,589,622,603,505,6301
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,5509,2434,487,1313,375,414,10532
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,765,271,207,143,262,157,1805
State_26,0,0,0,0,0,0,0
Total,24945,20062,3345,4374,3677,3597,60000
