项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,-1174.9668225082096
标准差,0.012917237532570859
最小值,-1174.9807771069222
最大值,-1174.9231164690366
中位数,-1174.9705102695925
""
各Seed最终结果,
Seed,Final_Best
0,-1174.9772939338777
1,-1174.9737859216043
2,-1174.9735315021283
3,-1174.9761463760588
4,-1174.9715426214473
5,-1174.9665723831815
6,-1174.9798306125315
7,-1174.9691587205368
8,-1174.963834443099
9,-1174.9671043827043
10,-1174.9702283976594
11,-1174.954693643722
12,-1174.9585812575192
13,-1174.97703975601
14,-1174.9732367922718
15,-1174.9807771069222
16,-1174.9597830110365
17,-1174.970565402405
18,-1174.9793062004405
19,-1174.9559808613083
20,-1174.932650893768
21,-1174.9528241335845
22,-1174.9597697564443
23,-1174.9704551367802
24,-1174.9710547462066
25,-1174.978668619436
26,-1174.9736077818322
27,-1174.9745703118467
28,-1174.9689640708898
29,-1174.9231164690366
