Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,-531.3878648778895,35.325200928943026,0.0,-550.8842234432709,-563.2530331243481,-490.57066453960465,-534.1973672009509,-463.6601379302856,-511.6899298651532,-561.9120922689444,-552.6305387791616,-518.276648183281,-578.5517089268604,-496.67579621345965,-529.8551183911143,-534.1641773575305,-615.5535168678789,-530.8286438376283,-582.3788894664868,-529.8037802578052,-494.5341130307188,-476.4880934341229,-482.26023702992006,-569.8627654557272,-544.0615931127537,-575.0796100752168,-527.8452461465681,-542.4472088543216,-506.3914951223976,-549.2426082825356,-542.0825866354969,-504.8371484387365,-481.6169740644025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-580.7636987022248,31.042307101937585,0.0,-588.3487566757442,-590.920806245839,-533.3555403195509,-588.9842353883705,-556.8291342063139,-591.1077533604367,-561.9120922689444,-573.725561364393,-627.1833292266281,-584.1109624363793,-591.334009872538,-622.1176491294464,-572.3225735056909,-615.5535168678789,-577.7807657147093,-588.068032449013,-529.8037802578052,-637.8365158442557,-554.7377392143843,-617.890982594214,-628.6391141229805,-585.6396976693853,-595.2707039785068,-527.8452461465681,-622.3138880750379,-549.9548725196162,-577.5332987051765,-542.0825866354969,-541.8119814546544,-547.8958348167841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-621.4898513949748,38.84663861105635,0.0,-634.778818064674,-639.3961634209966,-563.7361812731423,-626.0429864816322,-593.3629147281673,-625.1704641534322,-636.8185254348537,-576.0710932240062,-627.1833292266281,-584.1109624363793,-609.1761089030289,-622.1176491294464,-693.8234808337156,-688.8817873545738,-584.1394339958524,-649.7478282892404,-563.4950422668112,-637.8365158442557,-580.6634070910617,-691.3941497722171,-675.0203966662132,-593.5012016763646,-683.9579742299047,-579.7409896936656,-655.8110073041905,-627.4652794519515,-626.807015484677,-621.4291492626107,-576.3509626936378,-576.6647234619072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-681.2633309125796,40.76456752826586,0.0,-654.8870856719295,-667.8771513882563,-625.1166710990673,-727.6811345223599,-649.321253928649,-755.88096444261,-664.3244575548715,-705.9369845789022,-627.1833292266281,-639.4634315178597,-702.5854504596633,-729.702248244972,-705.2420272317562,-690.4628962590263,-711.2155611961491,-686.9009749900631,-596.843139900356,-709.7911111721376,-615.548433650398,-691.3941497722171,-734.9355818393796,-709.0651731490649,-714.6511555193173,-668.4504954607924,-677.4392873065035,-682.2147820911091,-682.1078508263814,-750.0044194175711,-629.4611929129092,-632.2115320464842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-714.425141656589,35.274650540495465,0.0,-710.7351732044567,-696.4262344424285,-651.1667506900022,-727.6811345223599,-695.7304820034608,-755.88096444261,-718.7930906046672,-705.9369845789022,-678.2234802024251,-659.9813122829067,-735.6245190493046,-825.9891845351001,-708.7502931195429,-774.5627590345188,-730.0000669985245,-745.908345186452,-669.1917404418487,-725.5705982628697,-714.0228250679268,-718.0007986071643,-750.7392974891989,-709.0651731490649,-721.1513119031332,-694.6338777321942,-710.6908236103678,-686.4474561181222,-682.1078508263814,-750.0044194175711,-702.5397605720904,-677.1975416020715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-748.5174489357577,33.4768106437067,0.0,-730.3690602655307,-717.1773951846843,-708.9062915866003,-762.8054337782675,-737.1664740189813,-776.9829735961199,-768.9588227852516,-742.8355984313682,-744.9430996911547,-702.8609681896698,-770.3982217936466,-825.9891845351001,-787.1300068872272,-807.9781430571115,-734.9968108009133,-745.908345186452,-717.2367124216568,-744.7948807997026,-746.0983926001463,-743.5735896534297,-828.5881161494402,-709.0651731490649,-744.2282430087539,-717.3237683475,-739.5306410857416,-700.3038301291443,-714.3913401209502,-789.1838505828345,-739.3392387220696,-756.4588615142168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-776.5178449519218,28.71685855952612,0.0,-791.6912688098013,-804.9750492907068,-725.3765789285637,-784.9528264264441,-788.5522874023841,-782.3786610162197,-768.9588227852516,-742.8355984313682,-760.9174102508587,-746.740797117382,-801.506544896239,-843.2494525797786,-800.3742868313487,-821.1012015059451,-772.836252956601,-765.4512859883919,-732.955981531412,-793.3525785400743,-752.9597283270286,-744.3040470053551,-840.9690258354575,-759.7250086265045,-783.8017333272918,-771.710899545964,-739.5306410857416,-769.5024456851596,-764.2222376924159,-792.8914479651233,-791.2523866586225,-756.4588615142168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-808.9398397442075,34.65048980778094,0.0,-791.6912688098013,-804.9750492907068,-758.6342754330949,-793.0933727204409,-816.544564427906,-799.0945930406647,-775.021995155409,-786.4196983091724,-820.0703716317656,-746.740797117382,-846.7704788753595,-868.4340957034299,-825.2347780833915,-871.4383833497616,-829.3055530831647,-855.000488136813,-772.4756326831168,-852.0940292078378,-838.5671760304385,-817.9203898350728,-860.7357829573706,-766.9471155615356,-783.8017333272918,-817.7126251389876,-766.0498297840904,-777.322177247583,-771.0615737501672,-841.9891763985275,-825.9884345426508,-787.0597526932851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-834.7581273567371,32.42917313038895,0.0,-818.5271800556214,-848.8546055622074,-783.5115646822394,-829.1771519606367,-834.5349292576993,-824.2580014546935,-797.1407000020922,-821.916029317091,-830.0963145117801,-792.1723394430704,-880.6646199016194,-885.2513498551192,-825.2347780833915,-880.7004677457334,-839.208878214211,-870.3658970720481,-786.4991571512071,-856.4819822945485,-848.8910028710063,-839.6581931674498,-926.1787164353971,-829.5387718232313,-810.9482847956156,-850.6755428254276,-817.8631900386473,-797.87231347893,-794.1314087784825,-865.4875938929298,-838.6529466141693,-818.2499094158198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-852.2020991708911,31.488121644013606,0.00047469257838502333,-820.7982867341465,-848.8546055622074,-813.1074996382464,-852.0406208608932,-850.3217869908746,-826.2891681224653,-827.3296206617629,-855.6228984287452,-860.8297389464171,-812.2402478771949,-893.052442665639,-945.015810974012,-849.925816484934,-891.5705435834398,-860.7237228178727,-870.3658970720481,-811.1798906173158,-867.4328000726675,-865.2092392962968,-845.5529976975821,-926.1787164353971,-829.9646724969618,-816.0097234808112,-878.0112473060613,-846.8355869383028,-821.835230583575,-834.7765921149391,-868.8275499183844,-838.6529466141693,-837.5070741333739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142407773515507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
