项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,-1155.9750495509036
标准差,15.644028178672464
最小值,-1174.8807524553067
最大值,-1118.1893196790068
中位数,-1160.6508175276301
""
各Seed最终结果,
Seed,Final_Best
0,-1146.5766290880647
1,-1160.644605233831
2,-1174.851941029417
3,-1160.7152589466702
4,-1160.68576608796
5,-1174.8000171430278
6,-1132.4634788336937
7,-1146.5666225612404
8,-1160.6786857209142
9,-1146.432086579195
10,-1174.8438602438787
11,-1160.6458007116398
12,-1146.5492064028604
13,-1160.706022117736
14,-1174.8807524553067
15,-1174.8112946043516
16,-1160.734202275516
17,-1160.6558343436204
18,-1174.8537263101687
19,-1146.5291790894935
20,-1118.1893196790068
21,-1118.2706008434764
22,-1146.5277858795316
23,-1174.8484014419898
24,-1160.7642149789708
25,-1146.4130374650692
26,-1146.6267735505298
27,-1146.5834720136854
28,-1146.5402707669982
29,-1174.8626401292624
