Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,8137.646680261203,981.0707302517079,0.4282353490642001,7790.792796223479,9343.140915259219,8576.188779260532,8914.070627874591,7423.127931209517,8170.019889032586,10169.497053064879,7892.405553163996,7949.244641051377,7749.974896931385,7814.641227715147,7171.25078704611,8914.756084831006,8368.983838634234,8459.427968894455,6810.449002618427,8638.546705946712,8522.587538145237,6645.732251346211,5672.733418191923,7925.749736898892,6484.801245572906,8960.673893259747,6856.2336483394265,8450.550792269707,8762.045002150933,9708.175327271381,8647.350571991094,8175.229779355702,9161.018504285303,0.12685251704391748,0.1894470564339379,0.19027800943785675,0.56750255866233,0.4249141954112518,0.541884850633257,0.40546526519156945,0.44621779500112563,0.5577817980832688,0.75,0.367273461303062,0.27987193965682344,0.75,0.13189788171072928,0.75,0.07706439125723702,0.40432664046701683,0.6725263989449008,0.4347350260250066,0.5,0.45359664360432606,0.4722447902041716,0.6124748321053238,0.5086873992539754,0.3732351125701404,0.3930431584915489,0.22697308002412458,0.5,0.29707411398253636,0.44169155642656194
1,6266.348095731134,830.5903971132252,0.4196815117106928,5458.867873613119,7234.064318408621,5207.363765765761,7278.674028206615,6532.21421019936,6030.663267872136,7983.704987659043,6919.123099859956,5897.383121830433,5229.807529582009,6371.345687466317,6122.803778811976,6139.622641836402,6746.9278629142445,6550.778985393192,4643.7389755662525,6528.862184942179,6234.70460520809,4984.796934717203,4912.41770318147,6834.293519061792,4907.563026099957,6793.796367173439,5656.634809415385,7188.840607563766,6250.243081738776,7306.383460540499,6210.478248263133,6683.052621823671,7151.291567219246,0.4655568240265758,0.3752722622800526,0.44785169246212053,0.19174671808018554,0.21367770640908337,0.4941426419170108,0.5132037922612199,0.5364412636147284,0.42662999303049376,0.37595458549269123,0.197170710214454,0.36203952474895773,0.47894932477827423,0.3847872112877644,0.5112907155602069,0.46881160323770177,0.36830419854843954,0.21514562274676916,0.3801707478768287,0.45751251795739906,0.5533210821586891,0.30146733201780457,0.41333311258225736,0.4511523254159271,0.40960064192444645,0.4992793190394614,0.5770655550293381,0.5618313407430893,0.6086328285032325,0.35010215737558065
2,4791.643832365263,810.6351741712307,0.1837060828014812,4874.873086161093,5077.873447237529,3311.1736888769897,5902.909923164049,4969.3514968390355,4587.281719990778,6707.576953189771,5518.42581216486,4289.612093466869,3474.6008938462924,4768.435392956757,4800.731520158972,5114.422078552301,4282.126902638861,3240.735179913467,3571.7284050783855,4970.326596685749,5116.982867044855,4164.8546975832305,3484.332976377436,5355.231661620468,4353.7192091147035,5167.174216340392,4860.384810532875,5764.168104547441,4927.527877773975,6006.458699555022,5118.046632520904,4696.141883489577,5272.106143535232,0.22641917061562133,0.3294434289499137,0.1602045528230026,0.19460087842214407,0.272793391704922,0.0982856512330395,0.27202668559812376,0.2088427561841789,0.2576635136138262,0.08785045952364116,0.02734029455441314,0.1078168276665642,0.14624400039594648,0.1916708080999483,0.3231656910189914,0.1386378639251727,0.1587202389384084,0.23711325157315616,0.2119440157225027,0.08426622114537843,0.35210340423133685,0.11007697897648078,0.2042120678969514,0.12864359474002104,0.16014091338236008,0.18858351436354337,0.18178702383120476,0.15581492881296,0.18303451574053253,0.11173584036015077
3,3820.530713837581,656.1386943441368,0.1498448006982761,3879.1560610410957,3842.937688994138,2921.102941971658,4867.812875406594,3766.128520158233,3234.866780963179,5285.957980098399,4743.584843425196,3654.1375788275454,2948.545513246943,3607.3789696649696,3861.066117776559,4335.187823477345,3416.9864978108326,2778.8886580122557,2505.180493083714,4016.7985740531763,4316.680362536983,3537.5264344945845,2862.449282171396,4318.7459091773035,3252.203489672217,3567.6719198756746,4236.650365494495,4484.913550839688,3888.663105292389,4613.090181292699,4350.5513481831595,3506.527960118953,4014.529587966036,0.2567415357957712,0.08214042442460116,0.10028374581507823,0.22081958612802083,0.20273206631527607,0.11667606266761324,0.1607294751334014,0.16736180677849,0.20017190872356994,0.06103070905313734,0.0705925107027355,0.10862048727507825,0.056288785121156454,0.1314716751742711,0.2419019992826759,0.13879303340514687,0.20132086572464117,0.23871972419367543,0.24401516938525966,0.12209410431112473,0.28447793362676066,0.11834411356874432,0.1747693612973224,0.06752061115198095,0.12723080626026614,0.07231772130344634,0.20696309997321172,0.10656970722684486,0.10573151729254104,0.10891347383644152
4,3053.7005005839123,532.9573024681183,0.14668673651336378,3221.911645240804,3184.8661364411764,2294.6646098653823,4283.6807525600625,3121.5529918486504,2928.121169820537,3952.5940325325646,3915.9217952322397,2958.103783833004,2427.716278949452,3037.2132594840473,3261.3833398211136,3641.151575753104,2800.215691583157,2296.7964168429476,2113.421001569523,3131.0588731472594,3702.200183727961,2659.8346214434227,2312.697352511491,3033.122209339397,2781.5442979956597,2721.948300834221,3159.492992843777,3386.690667945455,2746.8058067958195,3515.4004738873887,3415.0204587458456,2301.3517217624676,3304.5325751594637,0.26993526547829466,0.038144355354499594,0.0753066261722084,0.17865271712715608,0.18850950429603455,0.05507143532039367,0.08937533864043609,0.17289524032527892,0.23603023708829196,0.13918706249307441,0.20876649412326875,0.11598076996434425,0.03845426806712464,0.050383886205121395,0.18480125730324237,0.14131182244449297,0.21338784906817826,0.2491822825820894,0.24879204374819647,0.17223085546141725,0.15410925334109238,0.09132259427975892,0.1348748182267928,0.1520153393229135,0.13281784286029744,0.12552355370583146,0.22867043584291208,0.09051452447659325,0.10862640384320521,0.1157280182383716
5,2496.1978779673386,472.14161909639,0.14546147760018868,2735.5824475644085,2699.835425796949,1938.811761571304,3493.2428772563544,2583.877329653468,2536.009180948539,3516.190514752077,3218.1674742753876,2270.3921169094774,2093.541753341123,2562.6900799125065,2104.0928601625587,2714.5246918853477,2484.028831831576,2038.802125201264,1756.977106799802,2506.502175162643,3242.672913266227,2095.6203066973617,1946.770426536791,2555.122923332533,2203.03241802895,2381.0470597391845,2362.150841704759,2932.903285806959,1901.8084026769,3041.723416180892,2862.9461150969287,1931.328481090308,2175.540995837562,0.2957163538951313,0.08623842366780628,0.04919884324742355,0.16919409515189132,0.09631292248322272,0.06483800679631213,0.07909336691667353,0.16331515233894567,0.22566564699749841,0.15565618954028393,0.23196909907294458,0.08628816929296074,0.0945567721386994,0.13084887394415054,0.213792189052349,0.1458648566320667,0.21706474784438984,0.21893596944723254,0.20755031579733293,0.1511612682215729,0.17872167767736008,0.0735763253240258,0.17195128592195366,0.2213521664948551,0.13344988349860054,0.1326767864503362,0.17457583259635648,0.04018297869284293,0.07215206661355156,0.08194406225689083
6,2067.911095236724,377.4645245797296,0.13458746783239003,2258.7055242568968,2590.3127659773695,1686.2484138537177,2591.5410469762237,2101.7049078194036,2214.4524216943832,2649.315855439396,2520.856776793074,1835.568784382205,1813.8334860893688,2378.3090035560335,1839.9247890252143,2153.870345893775,2150.519435539307,1731.5555017346064,1520.8941655053072,1902.5102708869897,2651.458682777862,1590.271862799015,1417.8242968028405,2049.516856527343,1865.3401203999495,1977.5088023259134,1647.9913398579918,2602.2429904359315,1743.0680015935404,2562.8592231806188,2501.3344384069674,1682.14319805341,1805.6495485170637,0.24810604947895903,0.044530844540212444,0.061675182248644676,0.145282745835471,0.09784347576766164,0.057654191891520795,0.06282383628725803,0.14129301085772225,0.2493116469101222,0.16618209317632604,0.21894861597943788,0.05243268352017953,0.07758741537301789,0.13864279894302148,0.09948705178387443,0.10697061868003717,0.23943517349802998,0.23202696013348334,0.22086701150973112,0.08107886394060708,0.15151047416114047,0.08026465410435639,0.15875252833515308,0.22177414346002677,0.09157607921148568,0.17528084884128176,0.15776549901657044,0.08745951639416877,0.09546239206243516,0.07559762902976416
7,1766.6251321422958,369.0209500561835,0.12853129104764396,1720.6451487056588,1952.8268569081708,1487.6735041721906,2192.9662366182292,1700.7165446430663,1904.5426546291756,2482.025333714647,2128.927745331363,1372.1644069271285,1612.4248260109757,2159.629283711648,1645.8246975608615,1911.1273272324386,1824.3313925831428,1383.2827467986817,1137.8443988305416,1466.1927366166244,2194.937776948407,1175.6617950879,1216.2154911745567,1552.3926140654808,1729.5372031709674,1811.8387338069158,1362.1841773864246,2306.9608146353326,1590.5261830886723,2472.5892131130154,2215.0573621496546,1553.9398880294336,1733.7668706175666,0.22630573599225973,0.15385790597932625,0.10075417559379177,0.17030835486887622,0.09172331339983297,0.042960730859550725,0.05942869556242514,0.08761348279307596,0.222435506906986,0.1640628933765214,0.19439458301981072,0.10889288161496026,0.05414051826218021,0.2013522913250707,0.10099903952199821,0.0749481106511801,0.16129774102263172,0.22317319533285424,0.2154835746314814,0.12207197601598002,0.15106944562599295,0.09449409991420558,0.12286289352113136,0.16817482120488944,0.12459869639468074,0.12714941066833801,0.11460734840892531,0.044016612031621244,0.0804846401009496,0.052276056827790025
8,1491.329975966705,319.90547057592437,0.14671021341530247,1603.9715341332226,1597.7957958818906,1305.0419723381424,1807.5393171079386,1494.5132050107431,1689.4065022323173,2055.4525905020887,1849.5506527898215,968.7947423794989,1458.6339067216968,1947.6649997404043,1392.394693448518,1660.1117408157927,1642.5534399853045,1144.0288418236028,1017.9230361659235,1315.9871392145885,1710.546890016406,872.560784629246,1040.2320722766303,1294.8836398679396,1437.8706486911537,1415.453408156439,1068.5118904273102,2060.600371250687,1351.3757048768778,1897.2876704779717,1836.6513037353932,1366.8544152490342,1435.7063690545615,0.20381433490946083,0.11625301786504341,0.12538354638600627,0.13924288501860693,0.10162300524216103,0.037480216647016826,0.08932550961843283,0.055128136721620195,0.21251499266840299,0.13118561970217127,0.20550574700192697,0.14920275617549092,0.039731196550688436,0.18100012147597005,0.1836213425979062,0.09888078317377035,0.1521054803618149,0.2188854205175852,0.17260692997987725,0.19326611332474142,0.16023921399695934,0.1546386153088582,0.18091690351733675,0.15076760312814647,0.1576156502220001,0.10884482916183003,0.20435415082926006,0.17372701127788123,0.09305299652398266,0.21039227255412604
9,1272.6032260368513,297.07347704640074,0.15601627230267961,1321.8223445264593,1470.3548115034641,1183.2751145257225,1683.3395787306927,1301.804475215712,1534.1105301859423,1625.2197245360367,1624.2693688085621,847.227405392318,889.5830664290136,1680.295439482391,1202.6785312335664,1288.9236652639418,1466.1904636521099,940.8457904504811,811.9496592505278,1224.9180177483784,1456.5554516279087,698.7556738978011,839.7587219070961,1189.5576477345194,1244.8852433542781,1254.209323880515,909.0192049756849,1814.5702038786415,1244.6702011048421,1669.4764921467188,1504.8276837269807,1206.0647788549663,1048.9381670802702,0.25732526913420933,0.15805678932690279,0.07722349467896494,0.1771573872967691,0.1058053623650954,0.06811289645206606,0.07730414548777874,0.10239341316035615,0.19101415696618154,0.16352797297113092,0.19755596266383305,0.1378307495830574,0.12660521550027362,0.23100067206508637,0.1372161635312519,0.1494361892806863,0.222765981088208,0.13647093533973345,0.18728258943787404,0.18526731041151978,0.23111233022854624,0.15690799918565757,0.20268205188827548,0.10705056154740358,0.18148852080525035,0.1421271870093725,0.18219202943248888,0.13652192016828663,0.12095360738278095,0.13009930469134764
