# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,43,2,3,4,7,4,63
State_1,34,12,9,8,10,13,86
State_2,11,1,4,1,1,2,20
State_3,597,245,611,397,2614,2388,6852
State_4,719,343,419,288,877,537,3183
State_5,624,280,166,194,423,203,1890
State_6,310,112,306,243,224,231,1426
State_7,519,99,183,157,316,301,1575
State_8,405,105,303,280,323,483,1899
State_9,191,69,123,135,104,133,755
State_10,284,145,225,312,231,243,1440
State_11,181,54,72,66,78,55,506
State_12,577,177,691,363,878,614,3300
State_13,727,174,915,578,848,845,4087
State_14,617,209,448,265,398,382,2319
State_15,197,37,151,85,94,134,698
State_16,347,92,261,239,463,303,1705
State_17,332,193,2384,1033,879,844,5665
State_18,514,337,635,379,610,651,3126
State_19,843,584,1876,1305,1367,2202,8177
State_20,539,373,949,925,766,911,4463
State_21,755,246,185,331,196,249,1962
State_22,612,309,635,516,367,517,2956
State_23,364,130,282,270,232,177,1455
State_24,11,0,0,0,1,1,13
State_25,58,4,2,4,5,0,73
State_26,171,44,7,31,25,28,306
Total,10582,4376,11845,8409,12337,12451,60000
