项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,0.5099576131044218
标准差,0.15337915078668748
最小值,0.1609306176345266
最大值,0.767654901729252
中位数,0.5291891903173659
""
各Seed最终结果,
Seed,Final_Best
0,0.37528039875556335
1,0.534843094395262
2,0.6951084124077811
3,0.6615964452795019
4,0.40846433146411937
5,0.1609306176345266
6,0.4665920073676427
7,0.5289950043281312
8,0.767654901729252
9,0.3831895016319389
10,0.4686554197132719
11,0.7604868193177077
12,0.3622103498925246
13,0.7575300600624563
14,0.279011175056884
15,0.4419386829768719
16,0.5903513184113468
17,0.5395313735489963
18,0.7550951092480693
19,0.41849399782222446
20,0.5732752105166663
21,0.35732781378338124
22,0.495036576446795
23,0.6780402137149182
24,0.5304989831098561
25,0.5542952905234049
26,0.5293833763066006
27,0.4367576804813319
28,0.5368544445060206
29,0.2512997826996074
