项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,2.3809205221033096
标准差,0.6107066568802907
最小值,0.7813389366898094
最大值,3.563859072206955
中位数,2.4619579162633025
""
各Seed最终结果,
Seed,Final_Best
0,3.0268947515061138
1,2.5121443560082017
2,2.3556281024267705
3,2.439030812895725
4,2.5730698303506854
5,1.149443014093751
6,2.525131631350043
7,3.563859072206955
8,2.7368926837367065
9,2.1747600169358954
10,2.9698001843949084
11,1.5827663663423277
12,2.3852837821374786
13,2.4848850196308794
14,0.7813389366898094
15,1.814561632974427
16,2.1723536113958737
17,3.260821222030111
18,2.557352091295502
19,2.01542937524537
20,2.2335903024540555
21,1.54363187515376
22,2.5506685153282085
23,2.7462656989020418
24,2.105526822794974
25,2.123432629938896
26,2.8446913605102733
27,2.5904039560281307
28,3.547924403373813
29,2.0600336049676047
