# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,97,64,68,75,276,276,856
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,116,88,193,127,1352,1129,3005
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,193,44,107,188,391,255,1178
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,118,100,134,167,394,313,1226
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,150,79,188,191,918,745,2271
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,146,70,244,188,1003,455,2106
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,246,149,355,897,244,270,2161
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,147,61,205,443,112,110,1078
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,66,53,252,269,205,274,1119
State_26,0,0,0,0,0,0,0
Total,1279,708,1746,2545,4895,3827,15000
