项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,0.5792851723888093
标准差,0.21947280294427884
最小值,0.28369984990493424
最大值,1.1336185733928197
中位数,0.5121843443874002
""
各Seed最终结果,
Seed,Final_Best
0,1.0123774747369272
1,0.5465331256374105
2,0.6549275471288016
3,0.7448088058090366
4,0.42641736350088166
5,0.8892917616625685
6,0.3303612444590316
7,0.5062424930726042
8,0.40093719996108235
9,0.507200079917352
10,0.5744555694808287
11,0.4884263384496066
12,0.7925927183586529
13,0.5144995902784438
14,0.5786827680702102
15,0.6514472171941915
16,0.4047251570450066
17,0.4717963416792259
18,0.28369984990493424
19,1.1336185733928197
20,0.7920207511796921
21,0.33650227678657496
22,1.0650959993133313
23,0.5098690984963566
24,0.5280091808425194
25,0.4620004705896154
26,0.6515808030638972
27,0.4356941852556329
28,0.33430908443158525
29,0.35043210196545455
