Benchmark,GA_baseline_mean,GA_baseline_std,GA_MP_mean,GA_MP_std,GA_RL_mean,GA_RL_std,GA_MP_RL_mean,GA_MP_RL_std
sphere,3.451660e+00,1.135808e+00,1.631410e+00,6.821840e-01,3.709182e-02,1.630992e-02,1.654179e-03,9.163953e-04
sum_squares,4.460176e-01,1.692036e-01,2.560321e-01,9.579566e-02,1.316923e-02,5.395116e-03,3.606254e-04,2.090743e-04
rastrigin,7.680664e-01,2.254781e-01,5.746218e-01,1.803662e-01,2.074938e-02,9.015698e-03,4.910492e-04,2.148282e-04
ackley,6.560382e-01,1.276058e-01,4.548694e-01,8.995143e-02,5.746261e-01,1.363602e-01,3.672911e-03,1.118631e-03
griewank,1.029646e+00,1.434504e-02,9.372576e-01,7.663677e-02,6.386265e-01,1.741468e-01,2.132168e-02,1.952915e-02
rosenbrock,2.517868e+02,6.364394e+01,1.542341e+02,4.360525e+01,7.509397e+01,3.881616e+01,6.471836e+01,3.104676e+01
levy,1.583024e-02,4.822500e-03,8.861800e-03,2.343211e-03,1.053120e-02,3.752352e-03,2.018924e-05,1.301038e-05
schwefel,7.314042e+02,2.113169e+02,8.735025e+02,2.881091e+02,7.144304e-02,2.896612e-02,2.403545e-03,9.351852e-04
styblinski_tang,-1.155975e+03,1.564403e+01,-1.094797e+03,2.199574e+01,-1.174967e+03,1.291724e-02,-1.174982e+03,8.345220e-04

