Benchmark,Algorithm,Mean,Std,Min,Max,Median,Rank,vs_Baseline,p_value
rastrigin,GA_baseline,7.026641e+01,2.341326e+00,6.703759e+01,7.251623e+01,7.124541e+01,1,,1.0000
rastrigin,GA_MP,1.403549e+02,9.809405e+00,1.280729e+02,1.520817e+02,1.409100e+02,4,≈,0.2500
rastrigin,GA_RL,7.061816e+01,1.206966e+01,5.787657e+01,8.682533e+01,6.715260e+01,2,≈,1.0000
rastrigin,GA_MP_RL,1.054623e+02,1.242384e+01,9.103356e+01,1.213592e+02,1.039942e+02,3,≈,0.2500

rosenbrock,GA_baseline,2.283002e+05,5.712044e+04,1.674918e+05,3.047573e+05,2.126516e+05,1,,1.0000
rosenbrock,GA_MP,1.555681e+06,5.255359e+05,9.216456e+05,2.208528e+06,1.536870e+06,4,≈,0.2500
rosenbrock,GA_RL,3.288425e+05,1.515350e+05,1.159962e+05,4.568670e+05,4.136644e+05,2,≈,0.5000
rosenbrock,GA_MP_RL,1.010698e+06,5.111086e+05,4.242908e+05,1.669884e+06,9.379200e+05,3,≈,0.2500

ackley,GA_baseline,7.975688e+00,1.381790e-01,7.820326e+00,8.156019e+00,7.950718e+00,1,,1.0000
ackley,GA_MP,1.293888e+01,2.457432e-01,1.260771e+01,1.319574e+01,1.301317e+01,3,≈,0.2500
ackley,GA_RL,1.187693e+01,5.563563e-01,1.140818e+01,1.265857e+01,1.156402e+01,2,≈,0.2500
ackley,GA_MP_RL,1.425018e+01,4.257713e-01,1.366053e+01,1.465061e+01,1.443940e+01,4,≈,0.2500

