Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Div_Seed_0,Div_Seed_1,Div_Seed_2
0,202128666.87757802,33243577.388968747,0.41568088068386855,192915721.62225488,246660624.92766553,166809654.08281368,0.3817590465974361,0.36528359545416955,0.5
1,189470560.1279212,25463682.448951118,0.2508921091613651,182297938.6225355,223618510.4201886,162495231.34103936,0.2608475043267269,0.08265293540649411,0.4091758877508743
2,166332610.40347275,25257663.08959705,0.05779160579296311,170970351.52117196,194686086.2679943,133341393.42125194,0.06242266060456725,0.018998284722433183,0.0919538720518889
3,156304891.55063874,27313877.56158994,0.05619529914145841,140887194.96266994,194686086.2679943,133341393.42125194,0.1084155090702495,0.016415979576480378,0.043754408777645366
4,150878113.01226208,22023670.00305603,0.0784560936358389,140887194.96266994,181421550.97864988,130325593.09546638,0.1745729996329332,0.009736989909143443,0.05105829136544004
5,144133041.87329724,26094732.420102857,0.1027055808632303,123778380.7387591,180968737.31331766,127652007.56781498,0.21143736791501744,0.03878326952939434,0.05789610514527909
6,138553346.48368624,30448634.839990765,0.11371651665598044,123778380.7387591,180968737.31331766,110912921.398982,0.1757118011748445,0.054755151449168246,0.11068259734392862
7,115301954.63286443,26698243.769480627,0.08662269447407543,94995796.60990506,153022030.04079378,97888037.24789444,0.11321329064121019,0.054778106776386865,0.09187668600462923
8,109978562.228109,30901059.283671852,0.10167061235127002,94995796.60990506,153022030.04079378,81917860.03362815,0.09665579744703742,0.12779874227907848,0.0805572973276942
9,97078663.62521373,34518728.21643306,0.09981868911645754,68403348.3369568,145630479.39663288,77202163.14205149,0.1509320515241652,0.10030528233138813,0.04821873349381928
10,84502858.36552145,33161434.899408247,0.08738699037443515,57595043.732976615,131220834.59491679,64692696.76867091,0.097479495295786,0.10389976991204362,0.06078170591547581
11,79363345.5600067,35524674.78274755,0.08916440593855463,57595043.732976615,129459861.28751197,51035131.65953152,0.09312087310869958,0.12476037517489559,0.04961196953206868
12,69145177.21284361,40232928.88048477,0.09464894218993213,46679519.7858455,125649448.65498553,35106563.19769979,0.09396949104149249,0.12607521962981597,0.06390211589848789
13,64359078.770258896,39150858.24154245,0.11208886257200446,46679519.7858455,118638482.45943177,27759234.06549939,0.11966420909508027,0.14816128556861138,0.06844109305232171
14,57643773.870468505,34648129.38119363,0.07635245759335725,39163114.258929014,106185353.27043958,27582854.082036935,0.0840615257516457,0.09438687564034304,0.050608971388083
