Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Div_Seed_0,Div_Seed_1,Div_Seed_2
0,202128666.87757802,33243577.388968747,0.41568088068386855,192915721.62225488,246660624.92766553,166809654.08281368,0.3817590465974361,0.36528359545416955,0.5
1,166845986.1874909,21271032.842870183,0.23518487596469304,192915721.62225488,140812582.85740423,166809654.08281368,0.2152872358507433,0.1933605950615031,0.29690679698183264
2,146811005.52211997,10307251.307921318,0.19681430643846112,138304855.56338674,140812582.85740423,161315578.1455689,0.16450080324260852,0.2608849980154113,0.1650571180573636
3,127708591.1431077,28142204.728670273,0.1394962127316671,91713489.51810606,131001039.95868441,160411243.9525326,0.08159747682892654,0.2504061651219588,0.08648499624411594
4,118434318.57305117,20587811.894770794,0.11747557264412285,89624245.65749012,129196310.71711007,136482399.34455338,0.054304424227581534,0.25321054639765,0.04491174730713704
5,104838824.74631536,26440022.106381375,0.13481327047242211,67651430.64552358,126814155.05198912,120050888.54143338,0.02340310049929384,0.22272644047811208,0.15831027043986048
6,96706271.78546213,21267835.272095114,0.08094150294006254,67608840.2427684,104660608.590208,117849366.52340995,0.05117057006247738,0.09636472243964465,0.0952892163180656
7,87291013.1747696,17905203.605575565,0.07172314749322665,64303621.696121335,89588005.75528723,107981412.07290022,0.041032974672953845,0.10502523278841391,0.0691112350183122
8,83157762.56013407,17671041.459261388,0.05954836638869946,62799855.36684312,80784215.59257255,105889216.72098653,0.04224337949594545,0.07577068926169003,0.06063103040846291
9,78324527.02004199,13171597.409731915,0.046181229205924684,61596359.50823893,79591937.170734,93785284.38115302,0.03603326522124006,0.037689158039365185,0.06482126435716881
10,73905980.6742969,9154615.750756059,0.0514828932682796,61596359.50823893,76587262.16185401,83534320.35279775,0.02893333604709492,0.04482618845523435,0.08068915530250954
11,71064149.12915967,10181391.277112221,0.0469343028127703,58146910.86901266,72013702.15830186,83031834.36016452,0.031231319410836296,0.03606679845383466,0.07350479057363994
12,65670796.06951503,6126142.597010701,0.049729421961808185,57349113.00914007,71918891.28825232,67744383.9111527,0.04028631456509638,0.04487999446910722,0.06402195685122095
13,64240733.102300934,5968542.917450696,0.04602875362511846,56606097.971894115,71175664.60372943,64940436.73127925,0.02774407895970779,0.04906088667845073,0.06128129523719686
14,62700930.88633755,5729196.620430303,0.04696747864213637,54926909.35410587,68565056.41533986,64610826.889566936,0.029845797603094474,0.0530159312486223,0.05804070707469233
15,54198687.608979315,1985618.4892149125,0.04511639168985906,53285693.027454086,56954935.2878596,52355434.51162427,0.02845052419094429,0.06335900079782385,0.04353965008080903
16,47198953.44634504,8255774.258434521,0.04790315312937168,35651203.56863252,54464075.34016482,51481581.430237785,0.026410118153618017,0.06880337614484586,0.04849596508965115
17,39919229.21327249,8473322.162315244,0.04594342743956057,28067547.03552727,44312423.9411534,47377716.66313682,0.027020289299404754,0.061911975324501045,0.04889801769477591
18,37356432.10930058,11560863.8985628,0.046966575353220165,21078930.722117107,44167563.669134825,46822801.93664982,0.03113902889073631,0.057200402714640844,0.052560294454283354
19,32467729.869606525,8387333.680527575,0.050985376446616985,21078930.722117107,35291155.76071731,41033103.12598516,0.036799130586948475,0.06165350679779059,0.05450349195511189
20,29852251.123962957,8475406.132476848,0.04946082882604939,17882798.755323175,35291155.76071731,36382798.85584839,0.03148908939279508,0.058051781795040426,0.05884161529031265
21,27865635.557370674,7952109.264587413,0.054414666352886644,16822105.385406755,31547728.48788652,35227072.79881875,0.04180519890020505,0.05827082916494398,0.06316797099351089
22,26884921.44367257,7503276.647886887,0.040434894599851355,16822105.385406755,29000246.412394192,34832412.533216774,0.039244568736122074,0.02300430296088323,0.059055812102548746
23,24470582.812194448,6558901.528636144,0.045181641832080656,15208287.162043832,28670229.350575197,29533231.92396431,0.043061994991438514,0.0318819442247904,0.06060098628001308
24,22753594.633933406,5861632.116912915,0.047542975261888866,14767039.8276185,28670229.350575197,24823514.723606523,0.034052028329898655,0.04267033970242781,0.06590655775334014
25,20635679.763904825,4216511.232419758,0.04836236660321344,14767039.8276185,22654713.201309163,24485286.26278681,0.04754955241210608,0.04200648569158197,0.055531061705952275
26,18944699.783027202,5637853.14194883,0.04710766228964391,11137398.787320247,21447414.719515227,24249285.842246134,0.04325102126553035,0.0413784063085309,0.05669355929487046
27,16920221.485138636,5092035.383482913,0.05291978408636181,11137398.787320247,16095121.33074796,23528144.337347705,0.060155391020907195,0.04669050153220335,0.051913459705974885
28,14562105.310723975,3732423.177882834,0.0571185053917948,9866902.903581394,14820979.644844081,18998433.383746456,0.06790415412330293,0.040549711394071514,0.06290165065800994
29,13989175.167320117,3873567.041411795,0.05397480390188458,9564316.508417368,13404775.609796531,18998433.383746456,0.05827225385583504,0.039207776832402924,0.06444438101741579
30,11180089.544808991,1838094.1410807841,0.04551943494120689,8922199.965171047,11193536.198441694,13424532.470814236,0.03335377623847426,0.03741341203048329,0.0657911165546631
31,9482993.142071301,1723325.7443905938,0.05098523479016994,7113574.381167424,10173568.448079223,11161836.596967256,0.03881773230690673,0.05430226130824056,0.05983571075536254
32,8881646.632688051,1340821.294832411,0.045721476661806364,7033643.240634536,10173568.448079223,9437728.20935039,0.029536130330308802,0.04361664083240081,0.06401165882270947
33,8394121.537017142,1336169.9992183482,0.04789236725663284,6648293.811020006,9893205.954714263,8640864.845317157,0.02291367974138514,0.05256643629291108,0.06819698573560229
34,7945682.56828593,917534.2368823332,0.04397639558507941,6648293.811020006,8614136.075615644,8574617.818222139,0.024165538585821503,0.04232442883424246,0.06543921933517426
35,7510726.340123431,1239326.9036116344,0.04199887407363557,5779715.753855128,8614136.075615644,8138327.190899522,0.026671598057396488,0.030005823408441275,0.06931920075506895
36,7104876.488962896,1056729.9618444585,0.04120612578403243,5678314.559668153,8203784.3650218425,7432530.542198692,0.026342824750186206,0.04112299435617139,0.0561525582457397
37,6669592.389782448,1599692.820976177,0.03851950880568552,4443680.385773404,8132566.241375252,7432530.542198692,0.02976094948501839,0.038143594444048814,0.047653982487989355
38,5933761.4603585275,1195538.6662050055,0.04102235525865286,4333211.562601055,6262179.362899848,7205893.455574682,0.03805568057262214,0.03629517666236057,0.04871620854097587
39,5499071.229528189,1217483.7062018155,0.03933761835274001,3780861.131962732,6262179.362899848,6454173.193721986,0.02705405885616715,0.038035892957482664,0.052922903244570205
40,5291058.738210841,1126647.1806478065,0.04245552671965517,3705128.1679034536,5951287.539623852,6216760.507105217,0.029603965418954842,0.039863689832719894,0.057898924907290775
41,4850745.47230436,1479983.6390005352,0.038143961254808255,2785222.0334278303,5590698.29475919,6176316.08872606,0.03431192240049304,0.0336742312471639,0.04644573011676782
42,4605198.96487704,1348101.4384003996,0.03966096288889556,2785222.0334278303,5023426.097157891,6006948.764045399,0.04518245160957996,0.032300370589301464,0.04150006646780526
43,4000336.4479569807,865860.3848338969,0.04421286887478051,2785222.0334278303,4476767.651928284,4739019.658514827,0.036946449116452514,0.04956313891216956,0.046129018595719454
44,3383414.6380328652,1168374.38835099,0.045683709487447106,1763853.0220048886,4476767.651928284,3909623.240165423,0.03132212725535285,0.05216825050845844,0.05356075069853003
45,3121050.6998850144,961452.1519794369,0.04673552789285091,1763853.0220048886,3871037.2701689904,3728261.8074811646,0.03158639504831028,0.05401293127900977,0.05460725735123268
46,2660943.111162402,975610.0834346773,0.039115884499277186,1481895.4679810484,3871037.2701689904,2629896.595337168,0.01349155025661581,0.052860700116264744,0.05099540312495099
47,2428814.7170774397,797953.7889710828,0.04996572437042476,1366624.188608186,3289923.3672869643,2629896.595337168,0.03558041511398163,0.06168970861413055,0.05262704938316213
48,2194753.4272602056,678369.8577774513,0.04210099172501752,1250955.2620194454,2815690.301657135,2517614.718104037,0.02011141226215525,0.05657262035706108,0.049618942555836223
49,1771644.0293963598,481629.0846732015,0.04238323516396968,1100654.6056229419,2208527.8811989455,2005749.601367192,0.027280927583543717,0.054510048374282444,0.04535872953408287
