Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Div_Seed_0,Div_Seed_1,Div_Seed_2
0,202128666.87757802,33243577.388968747,0.0,192915721.62225488,246660624.92766553,166809654.08281368,0.0,0.0,0.0
1,156913972.7255852,13535994.899959154,0.0,137774889.86192137,166157374.23202053,166809654.08281368,0.0,0.0,0.0
2,130368229.89797355,9382432.47387023,0.0,125325942.98107594,143518416.85411605,122260329.85872869,0.0,0.0,0.0
3,103799167.17490326,6606791.8142083455,0.003732059858172406,98969969.6944311,113140791.67554954,99286740.15472911,0.0,0.011196179574517219,0.0
4,84741861.91159417,15324896.504565282,0.0005201828026699351,90133145.37972471,100225307.78494616,63867132.5701116,0.0015605484080098051,0.0,0.0
5,63728486.75854194,6705687.493669337,0.002846635151496862,67556716.90046424,69328216.08505724,54300527.290104344,0.0,0.0,0.008539905454490586
6,52870915.08719035,1943381.9220833448,0.018966590303146326,54871918.78094124,53502003.90767512,50238822.57295467,0.0,0.008691008281738974,0.048208762627700005
7,45871441.65249983,2792837.659512521,0.037623996407157835,49746003.28195455,44598045.18256077,43270276.49298418,0.0,0.06317432988484412,0.049697659336629396
8,37071851.20268456,3219293.2696006773,0.05932983255560448,33244744.68883318,36849821.27643249,41120987.64278799,0.14674220065438062,0.0312472970124328,0.0
9,30356293.71871705,2628370.2330446336,0.0744648408513402,27206371.3854896,30222165.33416359,33640344.436497964,0.1360126777846416,0.0,0.08738184476937898
10,28736953.07316496,4037576.171345339,0.008892281452480834,23751367.720929313,28819147.062067598,33640344.436497964,0.011898803851541762,0.0,0.014778040505900739
11,24590530.591578633,3343546.462287345,0.005950665104213894,19912953.35375843,26330021.449454136,27528616.971523326,0.0,0.0,0.017851995312641682
12,19747808.670464363,1970174.37488355,0.058688813555097315,17368423.23222218,19682003.7578145,22192999.021356408,0.005876866195697111,0.11716273384783184,0.053026840621763
13,14765722.885276243,976276.0217005975,0.06909741792467021,14510915.102699073,13717976.977060571,16068276.576069087,0.007863345132394603,0.12357706437667566,0.07585184426494038
14,13139078.83922113,1845870.3187935008,0.058369539666274846,11539912.771944102,12151805.200471919,15725518.545247365,0.0,0.14728492778387797,0.027823691214946565
15,11590249.869855514,1153364.9983588764,0.07687244498059523,10208141.404523427,11531165.200915933,13031443.004127182,0.011756483794790447,0.14563627563760265,0.0732245755093926
16,10216106.818124454,968959.0211171586,0.028861718298162004,8994072.724213706,11364056.711808622,10290191.018351037,0.013880419438120774,0.07270473545636524,0.0
17,8436922.716579236,669722.8393763411,0.03445091629687263,7535070.164976681,8637270.653832603,9138427.330928426,0.00024881835645845275,0.022386251679233807,0.08071767885492562
18,7197714.521144017,691979.3038923248,0.043426627795080434,6447593.687048731,7028493.681656854,8117056.1947264625,0.015391656528566588,0.11488822685667471,0.0
19,6260938.477305799,964560.2095437804,0.04938706298940206,5445959.100257336,5721105.06466972,7615751.26699034,0.014089237108477832,0.05973539108875753,0.07433656077097081
20,5514164.793908913,855530.1699973032,0.004278927924156013,4408331.385542204,5641937.8019512165,6492225.194233316,0.00918400124535932,0.0,0.0036527825271087185
21,4966300.721640676,889286.7233796812,0.0033800547952028883,3757276.691723031,5270909.442385635,5870716.030813362,0.010140164385608665,0.0,0.0
22,4332675.609258022,1010913.9999305886,0.002370523037465344,2916346.337910692,4872230.579648085,5209449.91021529,0.007111569112396032,0.0,0.0
23,3999264.232653161,1388243.9664639777,0.010738523371143989,2039863.0431757804,4872230.579648085,5085699.075135617,0.007194668590268212,0.010775173468679325,0.014245728054484425
24,3599868.5429334682,1397465.3362652056,0.014804986699466,1635936.934685779,4773128.695349334,4390539.998765293,0.002886534823130034,0.02433193723793415,0.017196488037333816
25,3216976.3319840096,1154265.456280612,0.0637618368826851,1586714.383575126,4104062.848168111,3960151.7642087922,0.16212327775712101,0.012853338373759625,0.016308894517174648
26,3015056.7848223397,1096823.4700240407,0.07205848791478682,1464466.3460232643,3826192.692301684,3754511.316142071,0.04633257315816104,0.1605881574291739,0.009254733157025484
27,2714612.9137746934,1099132.6782521498,0.029860793469466188,1166240.6509773252,3607316.843214157,3370281.247132597,0.008239389782524809,0.07713864278085884,0.004204347845014915
28,2528126.709002966,1112922.6634954796,0.01555523840264892,977371.6159251567,3536451.166559673,3070557.3445240683,0.003989765302327125,0.03146113747901704,0.011214812426602593
29,2145176.3318018564,972347.7839937771,0.04916250225062646,806740.3269118174,3087583.1245859135,2541205.5439078393,0.0,0.13054604268496,0.01694146406691939
30,1799203.0162072023,740627.6376666853,0.05093900201279028,796014.2884676834,2561571.667375147,2040023.0927787768,0.014297196564784224,0.11305935662511031,0.025460452848476305
31,1745919.0778686889,813089.9989957993,0.02919946561555638,636162.4734521423,2561571.667375147,2040023.0927787768,0.0,0.061330698986802316,0.026267697859866827
32,1678027.4991932346,822415.3733432749,0.028746756892698604,549050.5361480691,2484608.591408551,2000423.370023084,0.021680983052450687,0.037645354615010895,0.026913933010634227
33,1393016.0642131611,605996.6633083662,0.02702458866114955,549050.5361480691,1943993.3028935303,1686004.3535978834,0.03224445252779719,0.023231118379710675,0.02559819507594078
34,1190136.9749169867,484123.90467124566,0.05536816989014239,549050.5361480691,1718814.9250196517,1302545.4635832394,0.0305844500205389,0.0,0.13552005964988828
35,1052657.2792504113,400685.6872802071,0.06667265423275671,528590.0005850829,1501342.0518800789,1128039.785286072,0.035891881331944146,0.005887962370322618,0.15823811899600337
36,1025961.4734775986,435838.44328971655,0.06556727109492567,448502.58326664526,1501342.0518800789,1128039.785286072,0.00992345044071449,0.013033359767360432,0.1737450030767021
