Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Div_Seed_0,Div_Seed_1,Div_Seed_2
0,202128666.87757802,33243577.388968747,0.0,192915721.62225488,246660624.92766553,166809654.08281368,0.0,0.0,0.0
1,186744652.563686,41160021.15150225,0.0,159969488.67308027,244893143.35545412,155371325.66252363,0.0,0.0,0.0
2,151872623.40192863,6696105.470407481,0.0,157744036.9691541,142502507.57410818,155371325.66252363,0.0,0.0,0.0
3,141164597.99237606,8169064.323671535,0.0,151671843.74600115,140070152.66540673,131751797.56572026,0.0,0.0,0.0
4,112759304.57821208,17167415.53621119,0.0,97051503.34294376,136645328.24784392,104581082.14384858,0.0,0.0,0.0
5,81030863.28764647,6554570.634977346,0.0,87853970.74786186,72185388.52819672,83053230.58688083,0.0,0.0,0.0
6,67812043.97688648,4905432.681326557,0.0,74393623.51579948,66420467.9305958,62622040.48426417,0.0,0.0,0.0
7,66126427.86381944,5890486.100115412,0.0,74393623.51579948,62879873.88251303,61105786.19314581,0.0,0.0,0.0
8,49442598.722988665,5989664.383653593,0.0,57368902.73974152,42892093.31418194,48066800.11504253,0.0,0.0,0.0
9,43100063.96647907,4686156.876951739,0.0,49706670.5633066,40249155.81522029,39344365.52091033,0.0,0.0,0.0
10,38818931.91070968,8148114.153416092,0.0,48006016.23366899,40249155.81522029,28201623.683239754,0.0,0.0,0.0
11,33319229.412987486,4871335.163259573,0.0,39848360.83235806,31958000.665233735,28151326.741370667,0.0,0.0,0.0
12,28058422.65666317,4920482.735622203,0.0,34170838.93421147,27882405.65126995,22122023.38450808,0.0,0.0,0.0
13,23981108.593257803,4880586.139402225,0.0,30737817.624753833,19381957.65960766,21823550.495411918,0.0,0.0,0.0
14,22324003.90235533,4663644.933981221,0.0004189983842341834,28738078.896220844,17786888.368172545,20447044.4426726,0.0012569951527025502,0.0,0.0
15,18314343.289193153,894112.2424825148,0.002538701111096714,18851542.497662213,17054422.439826235,19037064.930091012,0.007616103333290141,0.0,0.0
16,14678693.242308768,1891255.3982421989,0.008375229379592137,13595209.443191325,13102696.344268052,17338173.939466927,0.024548468658974445,0.0005772194798019661,0.0
17,10017031.52676319,4595147.3200011365,0.0024129710496356553,3762387.9666683795,11617053.797580715,14671652.816040475,0.007238913148906965,0.0,0.0
18,9001829.408272626,3708677.278046068,0.0035177830377126303,3762387.9666683795,11415102.159739159,11827998.098410342,0.006724970555311227,0.0,0.003828378557826665
19,8013323.784370914,3040455.652747581,0.004906779903662278,3762387.9666683795,10698893.799821809,9578689.586622553,0.0,0.0,0.014720339710986834
20,7712005.31087137,2795839.998542801,0.00565788541757972,3762387.9666683795,9846419.972697267,9527207.99324846,0.0,0.0,0.01697365625273916
21,7329468.125759217,2554040.5597848706,0.0014406567320043087,3762387.9666683795,9604576.232646417,8621440.177962855,0.0,0.004321970196012926,0.0
22,5551996.9664402865,2429044.936449542,0.0,2414636.9300329783,8332336.159660781,5909017.809627101,0.0,0.0,0.0
23,5398440.680621138,2411398.613187786,0.0045518945726890645,2223092.5013109543,8063211.730925359,5909017.809627101,0.0,0.013655683718067194,0.0
24,4454033.437417485,1822835.3496605104,0.0050780479229320385,2005700.007715268,6377013.883322777,4979386.421214408,0.0,0.015234143768796116,0.0
25,3532960.492033073,1144360.5959258657,0.007190183077832475,2005700.007715268,4760215.927686366,3832965.540697586,0.0,0.011127460629860496,0.01044308860363693
26,3388345.114415021,1304699.7810725945,0.005843958151014034,1633840.5093336056,4760215.927686366,3770978.906225092,0.0,0.017531874453042103,0.0
27,2943409.4898093264,1005851.5704828367,0.004409558036375655,1633840.5093336056,4079211.5335689057,3117176.4265254666,0.0034026331033664065,0.00982604100576056,0.0
